Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1107000000,-12.35999284,-3.318223,-16.498692,-3.3289371,-10.512797,-17.013002,115.06103,-102.30115,0.1456359,-102.05119,-156.12805,0.89593387
1108000000,-12.36434984,-3.3301737,-16.449123,-3.3247955,-10.519897,-17.005199,114.83591,-102.6168,-0.29144526,-102.32125,-156.3109,0.51663262
1109000000,-12.36871024,-3.2983696,-16.466887,-3.3056912,-10.491136,-17.008877,114.81709,-102.34669,-0.13865899,-102.37484,-156.41039,0.75211656
1110000000,-12.37307403,-3.3268585,-16.511873,-3.3232915,-10.532916,-17.034199,115.09547,-102.58955,-0.22644383,-102.54676,-156.64525,0.5864166
1111000000,-12.37744123,-3.3236947,-16.471395,-3.3007143,-10.525644,-17.003452,115.00106,-102.48367,-0.32987455,-102.26247,-156.60037,0.29414377
1112000000,-12.38181183,-3.3107107,-16.467361,-3.2789159,-10.510232,-16.99172,114.50759,-102.86394,-0.28374043,-102.86211,-156.90884,0.54093218
1113000000,-12.38618585,-3.3270438,-16.504662,-3.2938871,-10.532685,-17.047253,114.91134,-102.86858,-0.15413499,-102.84163,-157.00728,0.57593894
1114000000,-12.39056327,-3.3428516,-16.50737,-3.3026552,-10.530254,-17.044273,114.72157,-103.06612,-0.48550609,-102.85896,-157.30138,0.39553738
1115000000,-12.39494411,-3.3153305,-16.511045,-3.321259,-10.544749,-17.055836,114.89577,-102.82307,-0.40415597,-102.82393,-156.87222,0.41593498
1116000000,-12.39932837,-3.3317859,-16.513241,-3.3127303,-10.543881,-17.049332,114.70004,-103.22664,-0.72885257,-103.12875,-157.3782,0.030927626
1117000000,-12.40371606,-3.299964,-16.532961,-3.288269,-10.532024,-17.053345,114.5209,-103.21838,-0.64106053,-103.09554,-157.4312,0.1507666
1118000000,-12.40810717,-3.3330905,-16.546415,-3.3197811,-10.584217,-17.089621,114.92912,-103.16498,-0.58915758,-103.07246,-157.5909,0.12568496
1119000000,-12.41250171,-3.2983,-16.526754,-3.2809784,-10.560959,-17.07078,114.38305,-103.47176,-0.74140382,-103.34454,-157.72708,0.06103567
1120000000,-12.41689968,-3.3234932,-16.521101,-3.294349,-10.595125,-17.077076,114.63314,-103.54205,-0.73569238,-103.38284,-157.7771,-0.064662695
1121000000,-12.42130109,-3.3158226,-16.56954,-3.3134966,-10.587985,-17.112057,114.37197,-103.55986,-0.78819746,-103.61857,-157.95116,0.12954934
1122000000,-12.42570594,-3.3317032,-16.58144,-3.3017955,-10.598371,-17.107288,114.47814,-103.82691,-0.67378336,-103.61765,-158.17737,-0.028851667
1123000000,-12.43011424,-3.299938,-16.541639,-3.2968848,-10.571243,-17.073563,114.26135,-103.61995,-0.88003457,-103.45261,-157.97264,-0.18339598
1124000000,-12.43452598,-3.2799673,-16.544998,-3.2785501,-10.578753,-17.101177,114.33375,-103.77631,-0.88319236,-103.71317,-158.26369,-0.15386766
1125000000,-12.43894117,-3.3292546,-16.547874,-3.2979991,-10.60705,-17.118593,114.51885,-104.09656,-1.097514,-103.94823,-158.40353,-0.28759211
1126000000,-12.44335982,-3.3024545,-16.566284,-3.3074253,-10.626793,-17.116997,114.16283,-104.01698,-0.82361257,-104.02795,-158.60042,-0.056945581
1127000000,-12.44778192,-3.3259292,-16.562969,-3.3038349,-10.621049,-17.105206,114.07837,-104.21278,-0.93530661,-104.09926,-158.53275,-0.18275508
1128000000,-12.45220749,-3.3190017,-16.606794,-3.3132248,-10.663734,-17.177057,114.16096,-104.2855,-1.2053164,-104.18166,-158.86668,-0.36396131
1129000000,-12.45663651,-3.3392096,-16.584328,-3.3214946,-10.651869,-17.138,113.94122,-104.43486,-1.025463,-104.27454,-159.01129,-0.15050283
1130000000,-12.46106901,-3.3335533,-16.602901,-3.3451848,-10.663339,-17.160881,113.92757,-104.38599,-1.2049241,-104.18362,-159.16167,-0.36029515
1131000000,-12.46550498,-3.306725,-16.62578,-3.3065069,-10.610091,-17.190987,114.2209,-104.50404,-1.3820492,-104.51856,-159.25116,-0.56162274
