Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.174,-4.577096568,-4.627172,-4.557518982,-4.691287,-4.563931647,-4.4295254,-4.560239359,-4.6425934
1.175,-4.576423226,-4.5917945,-4.556842464,-4.6610856,-4.563259678,-4.4148879,-4.559548369,-4.6111732
1.176,-4.575754006,-4.5783629,-4.556170034,-4.6843557,-4.562591834,-4.4215617,-4.558861527,-4.6448927
1.177,-4.575088921,-4.6275272,-4.555501701,-4.7275214,-4.561928124,-4.4654918,-4.55817884,-4.6553025
1.178,-4.574427978,-4.596148,-4.554837477,-4.6567535,-4.561268558,-4.42942,-4.557500321,-4.6038923
1.179,-4.573771187,-4.6058116,-4.55417737,-4.7063179,-4.560613146,-4.4229512,-4.556825977,-4.6560597
1.18,-4.573118559,-4.5891061,-4.55352139,-4.6476111,-4.559961898,-4.4500675,-4.55615582,-4.5990262
1.181,-4.572470104,-4.6169491,-4.552869547,-4.7080722,-4.559314823,-4.442379,-4.555489858,-4.598084
1.182,-4.571825831,-4.5591755,-4.55222185,-4.6665411,-4.558671932,-4.4428902,-4.554828101,-4.6220818
1.183,-4.57118575,-4.5994158,-4.55157831,-4.6350121,-4.558033234,-4.4062018,-4.55417056,-4.6127634
1.184,-4.570549871,-4.6220908,-4.550938937,-4.6757593,-4.557398739,-4.4475398,-4.553517245,-4.630724
1.185,-4.569918205,-4.6131363,-4.550303739,-4.7050357,-4.556768457,-4.4373803,-4.552868164,-4.6275373
1.186,-4.56929076,-4.6094956,-4.549672728,-4.6721525,-4.556142398,-4.4328895,-4.552223328,-4.6318803
1.187,-4.568667547,-4.6145973,-4.549045912,-4.6923623,-4.555520573,-4.4155006,-4.551582748,-4.6403871
1.188,-4.568048576,-4.5703835,-4.548423303,-4.6391191,-4.55490299,-4.3970337,-4.550946432,-4.6166301
1.189,-4.567433858,-4.5875058,-4.547804909,-4.6629057,-4.55428966,-4.4266438,-4.550314391,-4.6397157
1.19,-4.566823401,-4.5915351,-4.547190741,-4.6756768,-4.553680593,-4.4143896,-4.549686635,-4.589313
1.191,-4.566217216,-4.5952878,-4.546580808,-4.6357312,-4.553075799,-4.3926234,-4.549063173,-4.6269374
1.192,-4.565615314,-4.5890031,-4.545975122,-4.6518064,-4.552475288,-4.4206691,-4.548444017,-4.6245742
1.193,-4.565017704,-4.5976405,-4.545373691,-4.7017031,-4.55187907,-4.4425435,-4.547829175,-4.6406093
1.194,-4.564424396,-4.57932,-4.544776526,-4.6679111,-4.551287156,-4.4139595,-4.547218659,-4.650825
1.195,-4.563835401,-4.6058207,-4.544183637,-4.6666994,-4.550699555,-4.4269714,-4.546612477,-4.6057153
1.196,-4.563250729,-4.5838218,-4.543595034,-4.6264033,-4.550116278,-4.3772388,-4.546010641,-4.6321392
1.197,-4.56267039,-4.5841942,-4.543010727,-4.6814494,-4.549537334,-4.4208884,-4.54541316,-4.6391482
1.198,-4.562094394,-4.6018672,-4.542430727,-4.6525898,-4.548962734,-4.4342618,-4.544820044,-4.6286516
1.199,-4.561522751,-4.6002116,-4.541855042,-4.6824961,-4.548392489,-4.4296904,-4.544231304,-4.6128368
1.2,-4.560955473,-4.5628457,-4.541283685,-4.6603599,-4.547826608,-4.4036865,-4.543646951,-4.6222444
1.201,-4.560392568,-4.5796785,-4.540716664,-4.6611295,-4.547265102,-4.418694,-4.543066993,-4.5876136
1.202,-4.559834048,-4.5850334,-4.54015399,-4.6620798,-4.546707981,-4.4071646,-4.542491442,-4.6253414
1.203,-4.559279922,-4.606503,-4.539595674,-4.6627393,-4.546155255,-4.4364481,-4.541920307,-4.6299968
1.204,-4.558730202,-4.5987701,-4.539041725,-4.6643472,-4.545606935,-4.4371839,-4.541353599,-4.6405973
1.205,-4.558184897,-4.5841298,-4.538492154,-4.6553097,-4.545063031,-4.4299269,-4.540791329,-4.6406994
1.206,-4.557644018,-4.6026373,-4.537946971,-4.6820884,-4.544523554,-4.4331737,-4.540233507,-4.6113806
1.207,-4.557107576,-4.5980968,-4.537406187,-4.6680126,-4.543988513,-4.4054923,-4.539680142,-4.5964632
1.208,-4.55657558,-4.5652094,-4.536869812,-4.6444445,-4.54345792,-4.4143448,-4.539131246,-4.624496
1.209,-4.556048042,-4.5788722,-4.536337856,-4.6496491,-4.542931784,-4.4102621,-4.538586829,-4.6636691
1.21,-4.555524972,-4.5741787,-4.53581033,-4.668931,-4.542410117,-4.4037876,-4.538046901,-4.6519284
