Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
2248000000,-21.617434,-18.76307578
2249000000,-21.61743,-18.75721389
2250000000,-21.607206,-18.75131352
2251000000,-21.59346,-18.7453748
2252000000,-21.587685,-18.73939787
2253000000,-21.587908,-18.73338285
2254000000,-21.572933,-18.72732987
2255000000,-21.674282,-18.72123907
2256000000,-21.614983,-18.71511057
2257000000,-21.630472,-18.70894451
2258000000,-21.647224,-18.70274101
2259000000,-21.587816,-18.69650021
2260000000,-21.615881,-18.69022223
2261000000,-21.587122,-18.68390722
2262000000,-21.54192,-18.67755529
2263000000,-21.63975,-18.67116659
2264000000,-21.653873,-18.66474125
2265000000,-21.625364,-18.65827939
2266000000,-21.594652,-18.65178115
2267000000,-21.546114,-18.64524667
2268000000,-21.639032,-18.63867607
2269000000,-21.56329,-18.63206949
2270000000,-21.614233,-18.62542706
2271000000,-21.525644,-18.61874892
2272000000,-21.591991,-18.6120352
2273000000,-21.610777,-18.60528603
2274000000,-21.573805,-18.59850154
2275000000,-21.58625,-18.59168188
2276000000,-21.60059,-18.58482718
2277000000,-21.577044,-18.57793756
2278000000,-21.555347,-18.57101317
2279000000,-21.500227,-18.56405414
2280000000,-21.576185,-18.5570606
2281000000,-21.525848,-18.55003269
2282000000,-21.521025,-18.54297054
2283000000,-21.527124,-18.53587429
2284000000,-21.541155,-18.52874408
2285000000,-21.529749,-18.52158003
2286000000,-21.566917,-18.51438229
2287000000,-21.547537,-18.50715099
2288000000,-21.524099,-18.49988626
2289000000,-21.549911,-18.49258824
2290000000,-21.48461,-18.48525707
2291000000,-21.49511,-18.47789289
2292000000,-21.565783,-18.47049581
2293000000,-21.51988,-18.463066
2294000000,-21.490023,-18.45560357
2295000000,-21.48443,-18.44810867
2296000000,-21.504385,-18.44058143
2297000000,-21.503002,-18.43302198
2298000000,-21.513792,-18.42543047
2299000000,-21.54785,-18.41780703
2300000000,-21.515072,-18.4101518
2301000000,-21.551245,-18.40246491
2302000000,-21.449438,-18.39474649
2303000000,-21.520658,-18.38699669
2304000000,-21.449402,-18.37921564
2305000000,-21.485094,-18.37140347
2306000000,-21.446959,-18.36356033
2307000000,-21.466425,-18.35568635
2308000000,-21.456638,-18.34778166
2309000000,-21.438091,-18.3398464
2310000000,-21.439297,-18.3318807
2311000000,-21.420967,-18.32388471
2312000000,-21.443199,-18.31585856
2313000000,-21.430302,-18.30780239
2314000000,-21.376848,-18.29971632
2315000000,-21.441412,-18.2916005
2316000000,-21.433483,-18.28345506
2317000000,-21.446262,-18.27528015
2318000000,-21.38728,-18.26707588
2319000000,-21.441553,-18.25884241
2320000000,-21.385912,-18.25057986
2321000000,-21.407141,-18.24228837
2322000000,-21.350441,-18.23396807
2323000000,-21.428417,-18.22561911
2324000000,-21.376242,-18.21724162
2325000000,-21.360765,-18.20883573
2326000000,-21.372263,-18.20040157
2327000000,-21.416182,-18.19193929
2328000000,-21.3307,-18.18344902
2329000000,-21.344374,-18.17493089
2330000000,-21.336033,-18.16638503
2331000000,-21.447834,-18.15781159
2332000000,-21.341236,-18.14921069
2333000000,-21.337269,-18.14058248
2334000000,-21.272705,-18.13192708
2335000000,-21.325247,-18.12324462
2336000000,-21.303988,-18.11453526
2337000000,-21.335798,-18.10579911
2338000000,-21.299902,-18.09703631
2339000000,-21.308258,-18.08824699
2340000000,-21.329432,-18.0794313
2341000000,-21.284121,-18.07058936
2342000000,-21.246645,-18.0617213
2343000000,-21.23638,-18.05282726
2344000000,-21.286827,-18.04390737
2345000000,-21.241476,-18.03496177
2346000000,-21.227215,-18.02599058
2347000000,-21.223335,-18.01699394
2348000000,-21.187111,-18.00797199
2349000000,-21.218166,-17.99892484
2350000000,-21.248951,-17.98985265
2351000000,-21.174725,-17.98075553
2352000000,-21.231222,-17.97163362
2353000000,-21.198368,-17.96248705
2354000000,-21.192045,-17.95331596
2355000000,-21.141586,-17.94412047
2356000000,-21.138359,-17.93490071
2357000000,-21.108948,-17.92565682
2358000000,-21.1262,-17.91638892
2359000000,-21.19171,-17.90709715
2360000000,-21.174685,-17.89778163
2361000000,-21.18342,-17.8884425
2362000000,-21.151022,-17.87907989
2363000000,-21.134649,-17.86969392
2364000000,-21.146309,-17.86028473
2365000000,-21.138605,-17.85085244
2366000000,-21.110596,-17.84139718
2367000000,-21.07305,-17.83191909
2368000000,-21.074425,-17.82241828
2369000000,-21.059608,-17.8128949
2370000000,-21.117306,-17.80334905
2371000000,-21.078983,-17.79378089
2372000000,-21.064487,-17.78419052
2373000000,-21.07324,-17.77457808
2374000000,-21.093132,-17.7649437
