Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1325000000,-15.504189,-0.51036125,,-19.13871858,-0.789342799
1326000000,-15.474823,-0.50907904,,-19.15053902,-0.789858486
1327000000,-15.486592,-0.48782477,,-19.16271037,-0.790371011
1328000000,-15.478033,-0.50847822,,-19.17523474,-0.790880391
1329000000,-15.491604,-0.49002442,,-19.18811427,-0.791386638
1330000000,-15.513862,-0.50036508,,-19.20135115,-0.791889768
1331000000,-15.602974,-0.50103384,,-19.21494763,-0.792389798
1332000000,-15.577748,-0.51267362,,-19.22890598,-0.792886744
1333000000,-15.563049,-0.49115852,,-19.24322857,-0.793380622
1334000000,-15.604835,-0.51897603,,-19.25791777,-0.793871452
1335000000,-15.646274,-0.5065552,,-19.27297602,-0.794359251
1336000000,-15.678126,-0.4964591,,-19.28840584,-0.794844039
1337000000,-15.629962,-0.48710912,,-19.30420976,-0.795325835
1338000000,-15.717988,-0.52334654,,-19.32039039,-0.795804659
1339000000,-15.733934,-0.50471711,,-19.33695039,-0.796280534
1340000000,-15.724189,-0.49531403,,-19.35389249,-0.796753479
1341000000,-15.743416,-0.5106023,,-19.37121945,-0.797223519
1342000000,-15.757499,-0.49166709,,-19.38893412,-0.797690675
1343000000,-15.800241,-0.5194391,,-19.40703939,-0.798154971
1344000000,-15.761402,-0.49555045,,-19.42553823,-0.798616432
1345000000,-15.84459,-0.4923743,,-19.44443365,-0.799075083
1346000000,-15.878592,-0.51102346,,-19.46372873,-0.799530949
1347000000,-15.884086,-0.51203644,,-19.48342664,-0.799984057
1348000000,-15.886865,-0.49379584,,-19.50353059,-0.800434434
1349000000,-15.901726,-0.47813293,,-19.52404387,-0.800882108
1350000000,-15.879708,-0.49299368,,-19.54496984,-0.801327106
1351000000,-15.967622,-0.50190276,,-19.56631192,-0.801769459
1352000000,-15.942092,-0.48634419,,-19.58807362,-0.802209195
1353000000,-16.007114,-0.49549666,,-19.61025852,-0.802646346
1354000000,-16.032234,-0.49987265,,-19.63287026,-0.803080943
1355000000,-15.991906,-0.46949661,,-19.65591257,-0.803513017
1356000000,-16.063951,-0.51763231,,-19.67938928,-0.803942601
1357000000,-16.141811,-0.49187431,,-19.70330426,-0.804369729
1358000000,-16.164904,-0.49190077,,-19.7276615,-0.804794435
1359000000,-16.062944,-0.49028704,,-19.75246505,-0.805216754
1360000000,-16.218811,-0.5152303,,-19.77771905,-0.80563672
1361000000,-16.114502,-0.51523334,,-19.80342775,-0.806054371
1362000000,-16.220474,-0.49133193,,-19.82959547,-0.806469743
1363000000,-16.303148,-0.50857747,,-19.85622663,-0.806882875
1364000000,-16.230328,-0.48607177,,-19.88332575,-0.807293804
1365000000,-16.266817,-0.49764252,,-19.91089743,-0.807702571
1366000000,-16.342453,-0.507617,,-19.93894639,-0.808109214
1367000000,-16.25103,-0.46454549,,-19.96747744,-0.808513775
