frequency, S11, S21,, S22, S12
1358981888,-9.160809306,-0.887155705,,-9.1766816,-0.887159613
1359981824,-9.154573444,-0.888350336,,-9.170409738,-0.888349685
1360981760,-9.148356347,-0.889539899,,-9.164132865,-0.889541202
1361981696,-9.142126755,-0.890736119,,-9.157860675,-0.890735467
1362981632,-9.135904014,-0.891929223,,-9.151587951,-0.891929875
1363981568,-9.129691084,-0.893128336,,-9.145325109,-0.893130291
1364981504,-9.1234642,-0.894327592,,-9.139049092,-0.894324985
1365981440,-9.117237483,-0.895528948,,-9.132775525,-0.895526341
1366981376,-9.111019088,-0.896733056,,-9.126519254,-0.896730448
1367981312,-9.104798632,-0.897937961,,-9.120254282,-0.897932093
1368981248,-9.098589445,-0.899134534,,-9.113982854,-0.899141055
1369981184,-9.092365616,-0.900346903,,-9.107714614,-0.900344946
1370981120,-9.086144919,-0.901554853,,-9.101452523,-0.901552243
1371981056,-9.079928827,-0.902764905,,-9.09518251,-0.902765558
1372980992,-9.073704044,-0.903979672,,-9.088925301,-0.903978367
1373980928,-9.067492727,-0.905190671,,-9.082646136,-0.905187408
1374980864,-9.06126904,-0.906409647,,-9.076394548,-0.906409647
1375980800,-9.055047751,-0.907627467,,-9.070132841,-0.907625509
1376980736,-9.048828855,-0.908847393,,-9.063870625,-0.908845435
1377980672,-9.0426072,-0.910070733,,-9.057613803,-0.91007008
1378980608,-9.036385735,-0.911296181,,-9.051348368,-0.911292263
1379980544,-9.030178431,-0.912515249,,-9.04507802,-0.91251329
1380980480,-9.023958812,-0.913740343,,-9.038816017,-0.91373969
1381980416,-9.017729842,-0.914971466,,-9.032557932,-0.914971466
1382980352,-9.011512089,-0.916198822,,-9.026289062,-0.916200128
1383980288,-9.005290131,-0.917433514,,-9.020032199,-0.917437434
1384980224,-8.999070576,-0.918669665,,-9.013765302,-0.918672279
1385980160,-8.992840237,-0.919913811,,-9.007511133,-0.919908584
1386980096,-8.986620366,-0.921145695,,-9.001244744,-0.921146348
1387980032,-8.980396314,-0.922384266,,-8.994975686,-0.922386881
1388979968,-8.974165166,-0.923631489,,-8.988710555,-0.923629528
1389979904,-8.967943744,-0.924874292,,-8.982444225,-0.924874945
1390979840,-8.961722539,-0.926119864,,-8.976181088,-0.926119864
1391979776,-8.955488418,-0.927371477,,-8.969924064,-0.927374747
1392979712,-8.94925818,-0.928623247,,-8.96364685,-0.928622593
1393979648,-8.943034009,-0.929871248,,-8.957380143,-0.929873865
1394979584,-8.936796955,-0.931134453,,-8.95111955,-0.931134453
1395979520,-8.930570341,-0.932389965,,-8.944851938,-0.932392582
1396979456,-8.924328687,-0.933647598,,-8.938568582,-0.933647598
1397979392,-8.918098923,-0.934908662,,-8.932305918,-0.934911934
1398979328,-8.91185778,-0.936174466,,-8.926041352,-0.936175775
1399979264,-8.905623434,-0.93744174,,-8.919770527,-0.937445668
1400979200,-8.899382087,-0.938709175,,-8.913489099,-0.938713103
1401979136,-8.893140281,-0.939978734,,-8.907207256,-0.939981354
1402979072,-8.886901645,-0.941253039,,-8.900932986,-0.941255659
1403979008,-8.880651687,-0.942528817,,-8.89465177,-0.942530782
1404978944,-8.874407805,-0.943805412,,-8.888371597,-0.943803447
1405978880,-8.868155521,-0.945085446,,-8.882091744,-0.945088066
1406978816,-8.861909312,-0.946366954,,-8.875815108,-0.946370885
