!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2378000000,-11.471996,-3.6420119,57.914841,-24.660763
2379000000,-11.533217,-3.6358428,56.731464,-24.119434
2380000000,-11.574562,-3.5592794,56.30389,-23.562933
2381000000,-11.621488,-3.4649136,55.596115,-23.369499
2382000000,-11.684274,-3.3648107,55.089622,-23.076851
2383000000,-11.765138,-3.2325549,54.769855,-22.988237
2384000000,-11.799579,-3.0931742,54.795269,-23.135296
2385000000,-11.805735,-2.95857,54.939274,-23.631231
2386000000,-11.765627,-2.7764983,55.000885,-23.852915
2387000000,-11.71724,-2.6313126,55.490517,-24.478954
2388000000,-11.614431,-2.5090635,55.497612,-25.398443
2389000000,-11.487018,-2.3796704,55.224392,-26.356255
2390000000,-11.383856,-2.2502525,54.786419,-27.364408
2391000000,-11.236796,-2.1341655,54.199085,-28.749256
2392000000,-11.091258,-2.0640225,53.167873,-30.337915
2393000000,-10.998299,-2.0258179,52.063259,-31.733957
2394000000,-10.995551,-2.0162466,50.932758,-33.290737
2395000000,-10.962945,-2.01842,49.527973,-34.790337
2396000000,-11.00495,-2.0607896,48.397247,-36.135326
2397000000,-11.05112,-2.169416,47.459492,-37.498695
2398000000,-11.179045,-2.2604275,46.529022,-38.670452
2399000000,-11.303008,-2.3688047,46.30761,-39.672421
2400000000,-11.403046,-2.4974678,46.219234,-40.700142
2401000000,-11.510633,-2.642061,46.080498,-41.482941
2402000000,-11.515135,-2.7920935,46.618752,-41.954659
2403000000,-11.495535,-2.9000828,47.080029,-42.13382
2404000000,-11.504378,-3.0472159,47.420074,-42.409435
2405000000,-11.420742,-3.1590359,47.59734,-42.460529
2406000000,-11.30784,-3.2698126,47.709785,-42.258171
2407000000,-11.209643,-3.346874,47.325546,-42.205715
2408000000,-11.080874,-3.43731,47.15678,-41.696056
2409000000,-10.946194,-3.4648569,46.58707,-41.30566
2410000000,-10.852294,-3.4764657,45.82996,-40.872997
2411000000,-10.777011,-3.4469206,44.995911,-40.223152
2412000000,-10.701555,-3.4163301,43.88559,-39.746307
2413000000,-10.69101,-3.3224628,42.910336,-39.308979
2414000000,-10.651856,-3.2036521,41.922268,-39.165894
2415000000,-10.757242,-3.0902188,40.953003,-38.96904
2416000000,-10.827929,-2.9637518,40.505405,-39.134937
2417000000,-10.896259,-2.8262618,39.650715,-39.484932
2418000000,-10.961523,-2.65259,39.391003,-39.940472
2419000000,-11.042963,-2.5287337,39.168209,-40.576561
2420000000,-11.100471,-2.3669639,39.260448,-41.506302
2421000000,-11.135796,-2.2738636,39.165173,-42.527534
2422000000,-11.159183,-2.1566494,39.45435,-43.45731
2423000000,-11.113359,-2.090548,39.973789,-44.574879
2424000000,-11.05177,-2.0246618,40.009041,-45.892773
2425000000,-10.963172,-2.014667,39.986603,-47.085205
2426000000,-10.880162,-1.9954299,39.590622,-48.451397
2427000000,-10.831446,-2.0080802,39.401966,-49.756989
2428000000,-10.717669,-2.0503616,38.645351,-50.946972
2429000000,-10.675024,-2.1036229,37.791222,-52.306534
2430000000,-10.64034,-2.1911771,36.870384,-53.200695
2431000000,-10.70725,-2.2937818,36.053143,-54.332016
2432000000,-10.748072,-2.401278,35.212315,-55.221684
2433000000,-10.814405,-2.5167677,34.76247,-55.609833
2434000000,-10.896391,-2.6451442,34.212952,-56.128651
2435000000,-10.981811,-2.7528045,34.067814,-56.473301
2436000000,-11.080923,-2.8600402,34.575535,-56.486561
2437000000,-11.108241,-2.9743373,34.649921,-56.302158
2438000000,-11.113256,-3.0516915,35.142796,-56.329617
2439000000,-11.113297,-3.0894561,35.598125,-56.047554
2440000000,-11.050103,-3.1331179,36.212162,-55.983158
2441000000,-10.971091,-3.1458666,36.514034,-55.607479
2442000000,-10.852962,-3.1235335,36.550488,-55.139439
2443000000,-10.751998,-3.0901172,36.618908,-54.967487
2444000000,-10.605095,-3.0374377,36.144455,-54.534515
2445000000,-10.469781,-2.9884431,35.427029,-54.471779
2446000000,-10.382466,-2.8531778,34.701687,-54.167187
