frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4192800512.0000000000, -94.2502284174, 56.7087839489, 56.7087839489, 56.7087888059, -1.9490032830, 44.8978095556, 56.7087888059, 44.8978192696, -1.9490134524
4193800448.0000000000, -94.3570829324, 56.6379151203, 56.6379151203, 56.6379199773, -2.1017723028, 44.9063093466, 56.6379199773, 44.9063044895, -2.1017744277
4194800384.0000000000, -94.4638597351, 56.5670851479, 56.5670851479, 56.5670851479, -2.2546053746, 44.9147071400, 56.5670900050, 44.9147217111, -2.2546082584
4195800320.0000000000, -94.5707142501, 56.4962260334, 56.4962260334, 56.4962260334, -2.4076421378, 44.9230952195, 56.4962260334, 44.9230757914, -2.4076483608
4196800256.0000000000, -94.6775104808, 56.4253912040, 56.4253912040, 56.4253960610, -2.5607241320, 44.9313910154, 56.4253960610, 44.9313910154, -2.5607210964
4197800192.0000000000, -94.7843261396, 56.3545563746, 56.3545563746, 56.3545515176, -2.7139832558, 44.9396188131, 56.3545515176, 44.9396382412, -2.7139717204
4198800128.0000000000, -94.8911320844, 56.2837118311, 56.2837118311, 56.2837118311, -2.8673361809, 44.9478077546, 56.2837118311, 44.9478223256, -2.8673468056
4199800064.0000000000, -94.9979186011, 56.2128818588, 56.2128818588, 56.2128818588, -3.0208044602, 44.9559578399, 56.2128818588, 44.9559529828, -3.0208017282
4200800000.0000000000, -95.1047536880, 56.1420373153, 56.1420373153, 56.1420324583, -3.1744494138, 44.9640399268, 56.1420324583, 44.9640350698, -3.1744442532
4201799936.0000000000, -95.2115499188, 56.0712121999, 56.0712121999, 56.0712170570, -3.3281654014, 44.9720540154, 56.0712073429, 44.9720685865, -3.3281696513
4202799872.0000000000, -95.3183267214, 56.0003919416, 56.0003967986, 56.0004016556, -3.4819770116, 44.9799952487, 56.0004016556, 44.9800049628, -3.4819882435
4203799808.0000000000, -95.4251618083, 55.9295376841, 55.9295425411, 55.9295328271, -3.6360448298, 44.9879170539, 55.9295376841, 44.9879170539, -3.6360533296
4204799744.0000000000, -95.5319386110, 55.8587222828, 55.8587222828, 55.8587271398, -3.7901159872, 44.9957708607, 55.8587271398, 44.9957562897, -3.7901111302
4205799680.0000000000, -95.6387348417, 55.7878971674, 55.7878971674, 55.7878971674, -3.9443677652, 45.0035518122, 55.7878971674, 45.0035372412, -3.9443395337
4206799616.0000000000, -95.7455407865, 55.7170769091, 55.7170769091, 55.7170720521, -4.0987072731, 45.0112696224, 55.7170769091, 45.0112841935, -4.0987018090
4207799552.0000000000, -95.8523370172, 55.6462517937, 55.6462517937, 55.6462566507, -4.2531952238, 45.0189534335, 55.6462566507, 45.0189485765, -4.2531830813
4208799488.0000000000, -95.9591138199, 55.5754412494, 55.5754461065, 55.5754461065, -4.4077563335, 45.0265692462, 55.5754461065, 45.0265789602, -4.4077551192
4209799424.0000000000, -96.0659294787, 55.5046112770, 55.5046112770, 55.5046161341, -4.5625044385, 45.0341316316, 55.5046161341, 45.0341364887, -4.5625083849
4210799360.0000000000, -96.1726674251, 55.4338104468, 55.4338201608, 55.4338201608, -4.7173281310, 45.0416260188, 55.4338153038, 45.0416163047, -4.7173290417
4211799296.0000000000, -96.2794733699, 55.3629853314, 55.3629853314, 55.3629950455, -4.8723324440, 45.0490815497, 55.3629950455, 45.0490815497, -4.8723294084
4212799232.0000000000, -96.3862501726, 55.2921893582, 55.2921893582, 55.2921893582, -5.0273850237, 45.0564642253, 55.2921845012, 45.0564642253, -5.0273786489
4213799168.0000000000, -96.4930464033, 55.2213642429, 55.2213642429, 55.2213642429, -5.1826249024, 45.0638031876, 55.2213642429, 45.0637983306, -5.1826249024
4214799104.0000000000, -96.5997843498, 55.1505876977, 55.1505876977, 55.1505925548, -5.3378954410, 45.0710790087, 55.1505876977, 45.0710644376, -5.3378942267
4215799040.0000000000, -96.7065902945, 55.0797674394, 55.0797674394, 55.0797771534, -5.4933851528, 45.0782868314, 55.0797771534, 45.0782868314, -5.4933687603
4216798976.0000000000, -96.8133379550, 55.0089811802, 55.0089811802, 55.0089860372, -5.6489216134, 45.0854655120, 55.0089811802, 45.0854557980, -5.6489197921
4217798912.0000000000, -96.9200953296, 54.9381803500, 54.9381803500, 54.9381754929, -5.8046062133, 45.0925519092, 54.9381803500, 45.0925616233, -5.8046177487
4218798848.0000000000, -97.0269012744, 54.8673649487, 54.8673649487, 54.8673649487, -5.9604656660, 45.0996188783, 54.8673649487, 45.0996334493, -5.9604796300
4219798784.0000000000, -97.1336683630, 54.7965738325, 54.7965689754, 54.7965738325, -6.1164265091, 45.1066129920, 54.7965689754, 45.1065984209, -6.1164058667
4220798720.0000000000, -97.2404160235, 54.7257875733, 54.7257875733, 54.7257827163, -6.2724231727, 45.1135488214, 54.7257875733, 45.1135585355, -6.2724164943
4221798656.0000000000, -97.3471733980, 54.6550013141, 54.6549964571, 54.6550013141, -6.4285922607, 45.1204457946, 54.6549964571, 45.1204409376, -6.4286153315
4222798592.0000000000, -97.4539210585, 54.5842199120, 54.5842247690, 54.5842296260, -6.5848475608, 45.1272359134, 54.5842296260, 45.1272553415, -6.5848487750
4223798528.0000000000, -97.5607075752, 54.5134142247, 54.5134142247, 54.5134142247, -6.7413123200, 45.1340454602, 54.5134142247, 45.1340308891, -6.7413074630
4224798464.0000000000, -97.6674358076, 54.4426473936, 54.4426473936, 54.4426473936, -6.8978147212, 45.1407481525, 54.4426473936, 45.1407481525, -6.8978159355
4225798400.0000000000, -97.7742028962, 54.3718514204, 54.3718514204, 54.3718514204, -7.0545004750, 45.1474022746, 54.3718514204, 45.1473828465, -7.0544950109
4226798336.0000000000, -97.8809408427, 54.3010797323, 54.3010845893, 54.3010748753, -7.2112378347, 45.1540078264, 54.3010797323, 45.1540029694, -7.2112384418
4227798272.0000000000, -97.9876982172, 54.2303031872, 54.2303031872, 54.2303031872, -7.3681136196, 45.1605696650, 54.2303031872, 45.1605405229, -7.3681202980
4228798208.0000000000, -98.0944555917, 54.1595217850, 54.1595217850, 54.1595217850, -7.5251345080, 45.1670440772, 54.1595217850, 45.1670537913, -7.5251235797
