"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
2.34,122.800423652653,25.8362548782661,25.8362548783046,98.8828942729703
2.341,122.483565882134,25.561788616148,25.561788616188,98.6369845253157
2.342,122.166621335674,25.2871815565595,25.287181556601,98.3909108025524
2.343,121.849589913213,25.012433424144,25.0124334241869,98.1446727979986
2.344,121.532471514362,24.7375439437194,24.7375439437639,97.898270204425
2.345,121.215266038406,24.4625128402899,24.4625128403358,97.6517027140698
2.346,120.897973384301,24.187339839055,24.1873398391026,97.4049700186523
2.347,120.580593450678,23.9120246654247,23.9120246654737,97.1580718093902
2.348,120.263126135845,23.6365670450277,23.6365670450783,96.9110077770132
2.349,119.945571337784,23.3609667037252,23.3609667037772,96.6637776117791
2.35,119.627928954158,23.0852233676217,23.0852233676754,96.4163810034894
2.351,119.31019888231,22.8093367630779,22.8093367631331,96.1688176415042
2.352,118.992381019265,22.5333066167219,22.5333066167786,95.9210872147587
2.353,118.674475261732,22.2571326554625,22.2571326555208,95.6731894117792
2.354,118.356481506109,21.9808146065001,21.9808146065599,95.4251239206974
2.355,118.038399648482,21.7043521973409,21.7043521974023,95.1768904292687
2.356,117.720229584634,21.4277451558089,21.4277451558719,94.9284886248869
2.357,117.40197121004,21.1509932100581,21.1509932101227,94.679918194601
2.358,117.083624419876,20.8740960885863,20.8740960886524,94.4311788251317
2.359,116.765189109024,20.5970535202479,20.5970535203156,94.1822702028877
2.36,116.44666517207,20.3198652342668,20.319865234336,93.9331920139827
2.361,116.128052503313,20.0425309602506,20.0425309603215,93.6839439442522
2.362,115.809350996767,19.7650504282028,19.7650504282753,93.4345256792698
2.363,115.490560546168,19.4874233685377,19.4874233686117,93.1849369043652
2.364,115.171681044974,19.2096495120933,19.209649512169,92.9351773046407
2.365,114.852712386376,18.931728590146,18.9317285902232,92.6852465649893
2.366,114.5336544633,18.6536603344237,18.6536603345025,92.4351443701109
2.367,114.214507168411,18.3754444771209,18.3754444772013,92.1848704045312
2.368,113.895270394124,18.0970807509126,18.0970807509946,91.9344243526188
2.369,113.575944032602,17.8185688889691,17.8185688890526,91.6838058986033
2.37,113.256527975772,17.5399086249697,17.5399086250549,91.4330147265926
2.371,112.937022115323,17.2610996931193,17.2610996932062,91.1820505205921
2.372,112.617426342715,16.9821418281614,16.9821418282499,90.9309129645226
2.373,112.297740549191,16.7030347653943,16.7030347654844,90.6796017422382
2.374,111.977964625776,16.4237782406862,16.4237782407779,90.4281165375457
2.375,111.658098463291,16.1443719904905,16.1443719905838,90.1764570342226
2.376,111.338141952357,15.8648157518609,15.8648157519558,89.9246229160362
2.377,111.018094983403,15.5851092624682,15.5851092625647,89.6726138667633
2.378,110.697957446678,15.3052522606147,15.3052522607129,89.4204295702079
2.379,110.377729232252,15.0252444852512,15.025244485351,89.1680697102217
2.38,110.057410230034,14.7450856759932,14.7450856760945,88.9155339707233
2.381,109.737000329773,14.4647755731363,14.4647755732393,88.6628220357175
2.382,109.416499421069,14.1843139176734,14.184313917778,88.4099335893149
2.383,109.095907393387,13.9037004513115,13.9037004514178,88.1568683157528
2.384,108.775224136059,13.6229349164876,13.6229349165953,87.9036258994138
2.385,108.454449538301,13.3420170563866,13.342017056496,87.6502060248478
2.386,108.133583489218,13.0609466149574,13.0609466150684,87.3966083767901
2.387,107.812625877818,12.7797233369309,12.7797233370435,87.142832640184
2.388,107.491576593017,12.498346967837,12.4983469679512,86.8888785002004
2.389,107.170435523658,12.2168172540227,12.2168172541385,86.6347456422589
2.39,106.849202558517,11.935133942669,11.9351339427865,86.3804337520491
2.391,106.527877586311,11.6532967818093,11.6532967819283,86.125942515551
2.392,106.20646049572,11.3713055203473,11.3713055204679,85.8712716190569
2.393,105.884951175388,11.0891599080756,11.0891599081979,85.6164207491933
2.394,105.563349513941,10.806859695693,10.8068596958169,85.3613895929411
2.395,105.241655399998,10.5244046348244,10.5244046349499,85.1061778376594
2.396,104.919868722183,10.2417944780386,10.2417944781656,84.8507851711057
2.397,104.59798936914,9.95902897886686,9.95902897899546,84.5952112814589
2.398,104.276017229544,9.67610789182354,9.67610789195371,84.3394558573422
2.399,103.953952192113,9.3930309724232,9.39303097255499,84.0835185878441
2.4,103.631794145627,9.10979797720114,9.10979797733448,83.8273991625421
2.401,103.309542978936,8.82640866373328,8.82640866386818,83.5710972715259
2.402,102.987198580977,8.54286279065463,8.54286279079104,83.314612605419
2.403,102.664760840788,8.25916011767977,8.25916011781778,83.0579448554032
2.404,102.342229647525,7.97530040562351,7.97530040576312,82.8010937132415
2.405,102.01960489047,7.69128341641976,7.69128341656085,82.5440588713013
2.406,101.696886459055,7.40710891314326,7.40710891328592,82.2868400225791
2.407,101.374074242872,7.12277666002889,7.12277666017307,82.0294368607229
2.408,101.051168131688,6.83828642249301,6.83828642263868,81.7718490800575
2.409,100.728168015466,6.55363796715419,6.55363796730139,81.5140763756081
2.41,100.405073784375,6.26883106185458,6.2688310620033,81.2561184431253
2.411,100.081885328812,5.98386547568056,5.98386547583081,80.997974979109
2.412,99.758602539415,5.69874097898423,5.698740979136,80.7396456808336
2.413,99.4352253070817,5.41345734340547,5.4134573435587,80.4811302463729
2.414,99.1117535229862,5.12801434189316,5.12801434204792,80.2224283746257
2.415,98.7881870785961,4.84241174872654,4.84241174888278,79.9635397653394
2.416,98.4645258656917,4.55664933953906,4.55664933969672,79.7044641191383
2.417,98.1407697763826,4.27072689133864,4.27072689149778,79.4452011375468
2.418,97.8169187031265,3.98464418253102,3.98464418269162,79.1857505230164
2.419,97.4929725387481,3.69840099294266,3.69840099310469,78.9261119789521
2.42,97.1689311764574,3.41199710384262,3.4119971040061,78.6662852097378
2.421,96.8447945098684,3.12543229796577,3.1254322981307,78.4062699207628
2.422,96.5205624330205,2.8387063595372,2.83870635970352,78.1460658184502
2.423,96.1962348403945,2.55181907429235,2.55181907446013,77.88567261028
2.424,95.8718116269363,2.26477022950423,2.26477022967333,77.6250900048204
2.425,95.5472926880746,1.97755961400456,1.97755961417509,77.3643177117523
2.426,95.2226779197419,1.69018701820809,1.69018701838001,77.1033554418973
2.427,94.8979672183949,1.40265223413684,1.40265223431012,76.8422029072452
2.428,94.5731604810362,1.11495505544436,1.11495505561901,76.5808598209827
