Freq(Hz),S31(dB)_milled,S31(dB)_HFSS,S31(dB)_z0lver
1458000000,-3.2819991,-3.399209244,-3.693899367
1459000000,-3.3057983,-3.399216504,-3.693537169
1460000000,-3.2850807,-3.399224131,-3.69317326
1461000000,-3.265167,-3.399232127,-3.692811951
1462000000,-3.2700641,-3.39924049,-3.692451517
1463000000,-3.2970312,-3.399249222,-3.692090235
1464000000,-3.2717247,-3.399258323,-3.691728102
1465000000,-3.2928045,-3.399267794,-3.691365121
1466000000,-3.2869463,-3.399277634,-3.69100474
1467000000,-3.2700236,-3.399287844,-3.690640923
1468000000,-3.257865,-3.399298424,-3.690279705
1469000000,-3.2733548,-3.399309375,-3.689920225
1470000000,-3.274519,-3.399320698,-3.689556447
1471000000,-3.2672641,-3.399332391,-3.689196993
1472000000,-3.256362,-3.399344457,-3.688834966
1473000000,-3.2618959,-3.399356895,-3.688472952
1474000000,-3.2669358,-3.399369706,-3.688111812
1475000000,-3.2953506,-3.39938289,-3.687753272
1476000000,-3.247936,-3.399396448,-3.687391297
1477000000,-3.2878861,-3.399410379,-3.687030197
1478000000,-3.30935,-3.399424684,-3.686671695
1479000000,-3.2892325,-3.399439365,-3.686309759
1480000000,-3.2827303,-3.39945442,-3.68594956
1481000000,-3.2611866,-3.39946985,-3.68558765
1482000000,-3.2590814,-3.399485656,-3.685228338
1483000000,-3.2873518,-3.399501839,-3.684869901
1484000000,-3.2537358,-3.399518398,-3.684510615
1485000000,-3.2626598,-3.399535334,-3.684151342
1486000000,-3.2756011,-3.399552647,-3.683792082
1487000000,-3.2862782,-3.399570338,-3.683429389
1488000000,-3.3001559,-3.399588407,-3.683071016
1489000000,-3.2630544,-3.399606855,-3.682711795
1490000000,-3.2558928,-3.399625681,-3.682351725
1491000000,-3.2729731,-3.399644887,-3.681993391
1492000000,-3.2703629,-3.399664473,-3.681634208
1493000000,-3.2598045,-3.399684438,-3.681274177
1494000000,-3.2900722,-3.399704784,-3.680915882
1495000000,-3.2760077,-3.399725511,-3.680559321
1496000000,-3.2766137,-3.39974662,-3.68020019
1497000000,-3.2774315,-3.399768109,-3.679841933
1498000000,-3.2670996,-3.399789981,-3.679482828
1499000000,-3.2679391,-3.399812236,-3.679124597
1500000000,-3.2797554,-3.399834873,-3.6787681
1501000000,-3.2840004,-3.399857893,-3.678409894
1502000000,-3.2889438,-3.399881298,-3.678054285
1503000000,-3.2549753,-3.399905086,-3.677694383
1504000000,-3.2630022,-3.399929258,-3.677338798
1505000000,-3.278738,-3.399953816,-3.676979783
1506000000,-3.3047669,-3.399978759,-3.676621641
1507000000,-3.2620447,-3.400004087,-3.676262651
1508000000,-3.2623527,-3.400029802,-3.675907118
1509000000,-3.2574708,-3.400055903,-3.675549875
1510000000,-3.2713845,-3.40008239,-3.675192646
1511000000,-3.2891088,-3.400109266,-3.67483715
1512000000,-3.267349,-3.400136528,-3.674482528
1513000000,-3.2746546,-3.400164179,-3.674124476
1514000000,-3.2533317,-3.400192219,-3.673767297
1515000000,-3.2747369,-3.400220647,-3.673412713
1516000000,-3.2749295,-3.400249465,-3.67305556
1517000000,-3.283287,-3.400278672,-3.672701001
1518000000,-3.2574112,-3.400308269,-3.672344733
1519000000,-3.2744477,-3.400338257,-3.671989339
1520000000,-3.2333477,-3.400368636,-3.671633958
1521000000,-3.277004,-3.400399406,-3.671277728
1522000000,-3.2791867,-3.400430568,-3.670920651
1523000000,-3.2808821,-3.400462123,-3.670567889
1524000000,-3.2873302,-3.400494069,-3.670212558
1525000000,-3.2649586,-3.400526409,-3.669858099
1526000000,-3.2562454,-3.400559142,-3.669502794
1527000000,-3.2864561,-3.400592269,-3.669148361
1528000000,-3.2874868,-3.40062579,-3.6687948
1529000000,-3.271595,-3.400659706,-3.668440393
1530000000,-3.2866199,-3.400694017,-3.668084277
1531000000,-3.2832439,-3.400728723,-3.667731614
1532000000,-3.2664177,-3.400763826,-3.667377244
1533000000,-3.2782507,-3.400799324,-3.667024607
1534000000,-3.2728252,-3.400835219,-3.666668542
1535000000,-3.2711794,-3.400871512,-3.666315929
1536000000,-3.2433555,-3.400908202,-3.665963329
1537000000,-3.2636092,-3.40094529,-3.665609881
1538000000,-3.2492158,-3.400982776,-3.665256446
1539000000,-3.2799084,-3.401020661,-3.664905603
1540000000,-3.2700338,-3.401058945,-3.664552193
1541000000,-3.2746806,-3.401097629,-3.664198796
1542000000,-3.2844424,-3.401136713,-3.66384627
1543000000,-3.2951152,-3.401176198,-3.663494617
1544000000,-3.2675483,-3.401216083,-3.663143836
1545000000,-3.284693,-3.401256369,-3.662791348
1546000000,-3.251184,-3.401297058,-3.662438012
1547000000,-3.2797873,-3.401338148,-3.662085549
1548000000,-3.2603271,-3.401379641,-3.661736536
1549000000,-3.2672892,-3.401421537,-3.661384098
1550000000,-3.3065269,-3.401463837,-3.661031671
1551000000,-3.2584152,-3.40150654,-3.660681836
1552000000,-3.2476256,-3.401549647,-3.660328575
1553000000,-3.276845,-3.401593159,-3.659979624
1554000000,-3.2633345,-3.401637077,-3.659629826
1555000000,-3.2672458,-3.401681399,-3.65927918
1556000000,-3.2443841,-3.401726128,-3.658926828
1557000000,-3.2656097,-3.401771263,-3.658576207
1558000000,-3.2625251,-3.401816805,-3.658226458
1559000000,-3.2655561,-3.401862754,-3.657876721
1560000000,-3.2720351,-3.40190911,-3.657528714
1561000000,-3.2374754,-3.401955875,-3.657179861
1562000000,-3.269624,-3.402003048,-3.656828442
1563000000,-3.2864184,-3.40205063,-3.656477895
1564000000,-3.2568419,-3.402098621,-3.656131655
1565000000,-3.2674003,-3.402147022,-3.655780273
1566000000,-3.2437317,-3.402195833,-3.655433199
1567000000,-3.2444763,-3.402245054,-3.655082701
1568000000,-3.2845395,-3.402294687,-3.654737369
1569000000,-3.2824945,-3.402344731,-3.654387754
1570000000,-3.2372286,-3.402395187,-3.65403901
1571000000,-3.2583852,-3.402446055,-3.653692855
