"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
4.155,-19.3141214853314,-3.69430067847763,-17.8450588583389,-3.7053585544625,-29.7139199642631,-17.6390398289272
4.156,-19.3284627659116,-3.6942318327445,-17.8464679849095,-3.7053133991342,-29.6815033156379,-17.6399876822293
4.157,-19.3428276620257,-3.69416321519144,-17.8478614182386,-3.70526852309386,-29.6491739264028,-17.6409200338
4.158,-19.357216212977,-3.69409482624641,-17.8492391183059,-3.70522392696663,-29.616931479203,-17.6418368464329
4.159,-19.3716284580913,-3.69402666633598,-17.8506010451963,-3.70517961137633,-29.5847756552152,-17.6427380830239
4.16,-19.3860644367152,-3.69395873588526,-17.8519471591005,-3.70513557694548,-29.5527061342475,-17.6436237065719
4.161,-19.4005241882141,-3.69389103531793,-17.8532774203158,-3.70509182429535,-29.5207225948346,-17.6444936801793
4.162,-19.4150077519702,-3.6938235650563,-17.8545917892464,-3.7050483540459,-29.4888247143305,-17.6453479670529
4.163,-19.4295151673801,-3.69375632552125,-17.8558902264046,-3.70500516681584,-29.457012168999,-17.6461865305041
4.164,-19.4440464738529,-3.69368931713227,-17.8571726924106,-3.70496226322258,-29.4252846341004,-17.6470093339495
4.165,-19.4586017108078,-3.69362254030748,-17.8584391479941,-3.70491964388233,-29.3936417839759,-17.6478163409121
4.166,-19.4731809176724,-3.69355599546359,-17.8596895539943,-3.70487730940995,-29.3620832921295,-17.648607515021
4.167,-19.4877841338796,-3.69348968301597,-17.8609238713607,-3.70483526041913,-29.3306088313073,-17.6493828200127
4.168,-19.5024113988661,-3.69342360337861,-17.8621420611537,-3.70479349752229,-29.299218073574,-17.6501422197315
4.169,-19.5170627520695,-3.69335775696417,-17.8633440845453,-3.70475202133057,-29.267910690387,-17.6508856781298
4.17,-19.5317382329261,-3.69329214418393,-17.8645299028199,-3.70471083245392,-29.2366863526687,-17.651613159269
4.171,-19.5464378808686,-3.69322676544787,-17.8656994773744,-3.70466993150105,-29.2055447308756,-17.6523246273202
4.172,-19.5611617353233,-3.6931616211646,-17.8668527697193,-3.70462931907945,-29.1744854950664,-17.6530200465641
4.173,-19.5759098357078,-3.69309671174146,-17.8679897414792,-3.70458899579536,-29.1435083149661,-17.6536993813925
4.174,-19.5906822214283,-3.69303203758442,-17.8691103543933,-3.70454896225386,-29.1126128600303,-17.6543625963082
4.175,-19.605478931877,-3.69296759909818,-17.8702145703161,-3.70450921905878,-29.0817987995051,-17.6550096559257
4.176,-19.6203000064295,-3.69290339668616,-17.871302351218,-3.70446976681277,-29.0510658024871,-17.6556405249721
4.177,-19.6351454844419,-3.69283943075044,-17.8723736591859,-3.70443060611729,-29.0204135379798,-17.6562551682872
4.178,-19.6500154052483,-3.69277570169188,-17.8734284564238,-3.70439173757258,-28.9898416749492,-17.6568535508244
4.179,-19.6649098081575,-3.69271220991003,-17.8744667052533,-3.70435316177776,-28.9593498823769,-17.657435637651
4.18,-19.6798287324508,-3.69264895580321,-17.8754883681145,-3.70431487933071,-28.9289378293124,-17.6580013939491
4.181,-19.6947722173784,-3.69258593976845,-17.8764934075661,-3.70427689082815,-28.8986051849219,-17.6585507850157
4.182,-19.7097403021568,-3.69252316220158,-17.8774817862867,-3.70423919686571,-28.8683516185375,-17.6590837762637
4.183,-19.7247330259657,-3.69246062349716,-17.8784534670744,-3.70420179803775,-28.8381767997034,-17.6596003332221
4.184,-19.7397504279447,-3.69239832404855,-17.8794084128485,-3.70416469493754,-28.8080803982209,-17.6601004215368
4.185,-19.7547925471906,-3.69233626424787,-17.8803465866492,-3.70412788815722,-28.7780620841916,-17.660584006971
4.186,-19.7698594227536,-3.69227444448605,-17.8812679516385,-3.70409137828777,-28.7481215280604,-17.6610510554057
4.187,-19.7849510936347,-3.69221286515283,-17.882172471101,-3.70405516591902,-28.7182584006544,-17.6615015328404
4.188,-19.8000675987817,-3.69215152663672,-17.8830601084441,-3.70401925163972,-28.6884723732238,-17.6619354053934
4.189,-19.8152089770863,-3.69209042932511,-17.8839308271986,-3.70398363603746,-28.658763117478,-17.6623526393026
4.19,-19.8303752673805,-3.69202957360417,-17.8847845910197,-3.70394831969873,-28.6291303056235,-17.6627532009259
