Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1.281,-3.457406309,-3.450212226,-8.587861405,-3.3201351,-3.3245506,-11.713819
1.282,-3.457389144,-3.450206338,-8.592056993,-3.3341606,-3.3034105,-11.735543
1.283,-3.457372114,-3.450200568,-8.59625239,-3.3190467,-3.2995679,-11.75102
1.284,-3.457355217,-3.450194916,-8.600447598,-3.2904227,-3.2785685,-11.65337
1.285,-3.457338453,-3.450189381,-8.604642623,-3.3181114,-3.287291,-11.737588
1.286,-3.457321823,-3.450183962,-8.608837466,-3.2966197,-3.3051505,-11.756185
1.287,-3.457305325,-3.450178658,-8.613032133,-3.304075,-3.3155901,-11.74124
1.288,-3.45728896,-3.450173471,-8.617226625,-3.2906923,-3.3039632,-11.734075
1.289,-3.457272726,-3.450168397,-8.621420948,-3.3264232,-3.3110061,-11.762783
1.29,-3.457256623,-3.450163438,-8.625615104,-3.3207664,-3.3000007,-11.783761
1.291,-3.457240651,-3.450158593,-8.629809097,-3.3284798,-3.2917857,-11.760077
1.292,-3.457224809,-3.450153861,-8.634002931,-3.3037395,-3.2777505,-11.757284
1.293,-3.457209097,-3.450149241,-8.63819661,-3.3020439,-3.3107088,-11.804934
1.294,-3.457193514,-3.450144733,-8.642390136,-3.315335,-3.2891002,-11.795684
1.295,-3.457178061,-3.450140336,-8.646583514,-3.3007364,-3.2785549,-11.814222
1.296,-3.457162735,-3.45013605,-8.650776748,-3.3192265,-3.2776949,-11.810009
1.297,-3.457147538,-3.450131875,-8.65496984,-3.3313441,-3.3189864,-11.848019
1.298,-3.457132468,-3.450127809,-8.659162795,-3.3052387,-3.297332,-11.847648
1.299,-3.457117525,-3.450123852,-8.663355616,-3.2939892,-3.3099954,-11.815151
1.3,-3.457102709,-3.450120004,-8.667548307,-3.2905679,-3.2876847,-11.827709
1.301,-3.457088019,-3.450116264,-8.671740871,-3.3484342,-3.3023717,-11.879101
1.302,-3.457073455,-3.450112632,-8.675933313,-3.2853043,-3.2779589,-11.811334
1.303,-3.457059016,-3.450109106,-8.680125635,-3.2897935,-3.2538381,-11.866416
1.304,-3.457044702,-3.450105687,-8.684317842,-3.3167295,-3.3014569,-11.879582
