!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1558000000,-3.2625251,-144.40967
1559000000,-3.2655561,-144.55263
1560000000,-3.2720351,-144.67128
1561000000,-3.2374754,-144.73221
1562000000,-3.269624,-144.94235
1563000000,-3.2864184,-144.86882
1564000000,-3.2568419,-144.936
1565000000,-3.2674003,-145.03918
1566000000,-3.2437317,-145.01163
1567000000,-3.2444763,-145.31544
1568000000,-3.2845395,-145.33307
1569000000,-3.2824945,-145.49467
1570000000,-3.2372286,-145.64839
1571000000,-3.2583852,-145.66718
1572000000,-3.2515399,-145.60324
1573000000,-3.2567983,-146.08841
1574000000,-3.2465587,-145.92548
1575000000,-3.2303236,-146.23399
1576000000,-3.2227108,-146.16971
1577000000,-3.2452464,-146.42502
1578000000,-3.2595639,-146.38602
1579000000,-3.2717862,-146.52069
1580000000,-3.2595224,-146.45932
1581000000,-3.2517958,-146.68004
1582000000,-3.2583802,-146.76291
1583000000,-3.2464314,-146.8347
1584000000,-3.2631495,-147.08232
1585000000,-3.2505331,-146.89496
1586000000,-3.2653995,-147.32413
1587000000,-3.2620444,-147.13481
1588000000,-3.2762909,-147.2438
1589000000,-3.2567167,-147.3231
1590000000,-3.240236,-147.52882
1591000000,-3.2701201,-147.52992
1592000000,-3.2684913,-147.67551
1593000000,-3.2272806,-147.75439
1594000000,-3.2768843,-147.79305
1595000000,-3.2550955,-147.99751
1596000000,-3.2558963,-148.00563
1597000000,-3.2667708,-148.12038
1598000000,-3.2406714,-148.33707
1599000000,-3.2422779,-148.33827
1600000000,-3.2268121,-148.54503
1601000000,-3.2384484,-148.45638
1602000000,-3.232399,-148.73187
1603000000,-3.258836,-148.72693
1604000000,-3.2525294,-148.83665
1605000000,-3.2482231,-148.86534
1606000000,-3.2427504,-148.99071
1607000000,-3.2562728,-149.06667
1608000000,-3.2634935,-149.27008
1609000000,-3.26209,-149.42993
1610000000,-3.2537851,-149.48238
1611000000,-3.2399759,-149.73756
1612000000,-3.2517262,-149.50394
1613000000,-3.2452457,-149.73729
1614000000,-3.2799625,-149.6725
1615000000,-3.2425811,-149.728
1616000000,-3.2531383,-149.89635
1617000000,-3.2398658,-149.95454
1618000000,-3.2328246,-150.17062
1619000000,-3.2113574,-150.26982
1620000000,-3.2349949,-150.48322
1621000000,-3.2377141,-150.27434
1622000000,-3.261678,-150.55388
1623000000,-3.247009,-150.67386
1624000000,-3.2293878,-150.66824
1625000000,-3.2479312,-150.8857
1626000000,-3.2688563,-150.71295
1627000000,-3.2523205,-150.99348
1628000000,-3.2765276,-151.11932
1629000000,-3.2653668,-151.27397
1630000000,-3.2436295,-151.32921
1631000000,-3.2566631,-151.43788
1632000000,-3.2493634,-151.44507
1633000000,-3.2374377,-151.55684
1634000000,-3.2618632,-151.64095
1635000000,-3.2485425,-151.64877
1636000000,-3.2673903,-151.9666
1637000000,-3.2234993,-151.86423
1638000000,-3.2420788,-152.11272
1639000000,-3.2333789,-152.22244
1640000000,-3.2617145,-152.30879
1641000000,-3.2389593,-152.32228
1642000000,-3.2449608,-152.50511
1643000000,-3.240464,-152.61749
1644000000,-3.2303343,-152.59032
1645000000,-3.2229226,-152.73645
1646000000,-3.2616291,-152.74446
1647000000,-3.22594,-152.95045
1648000000,-3.2479696,-152.99826
1649000000,-3.2451253,-153.07152
1650000000,-3.2316263,-153.17857
1651000000,-3.245398,-153.22961
1652000000,-3.2461848,-153.33009
1653000000,-3.2590432,-153.47064
1654000000,-3.2305465,-153.69641
1655000000,-3.2372401,-153.7858
1656000000,-3.2437589,-153.6579
1657000000,-3.2513528,-153.74179
1658000000,-3.2473536,-153.89848
1659000000,-3.2452188,-153.91476
1660000000,-3.2494974,-154.21178
1661000000,-3.2325521,-154.13551
1662000000,-3.2574456,-154.30302
1663000000,-3.2268722,-154.39372
1664000000,-3.2396126,-154.53256
1665000000,-3.2483051,-154.54063
1666000000,-3.218112,-154.66522
1667000000,-3.2287352,-154.77551
1668000000,-3.2591879,-154.82533
1669000000,-3.2389257,-154.98434
1670000000,-3.2390027,-155.0705
1671000000,-3.2343731,-155.19783
1672000000,-3.2474642,-155.24829
1673000000,-3.2440262,-155.43222
1674000000,-3.2422364,-155.52103
1675000000,-3.2255046,-155.56528
1676000000,-3.2723181,-155.6006
1677000000,-3.2541506,-155.72173
1678000000,-3.2569094,-155.84761
1679000000,-3.2472851,-156.05905
1680000000,-3.2500095,-155.99646
1681000000,-3.2631681,-155.90392
1682000000,-3.2515779,-156.13536
1683000000,-3.2142532,-156.31133
1684000000,-3.2363617,-156.37233
1685000000,-3.2298071,-156.46072
1686000000,-3.2616398,-156.72488
1687000000,-3.2286503,-156.65137
1688000000,-3.2539032,-156.68384
1689000000,-3.2279937,-156.97137
1690000000,-3.2421927,-156.94473
1691000000,-3.2347906,-157.09157
1692000000,-3.2246785,-157.17976
1693000000,-3.2680192,-157.29715
1694000000,-3.2288542,-157.58194
1695000000,-3.2473984,-157.68677
1696000000,-3.1999705,-157.66913
1697000000,-3.2464614,-157.65161
1698000000,-3.2324586,-157.7317
1699000000,-3.2112539,-157.7953
1700000000,-3.2360945,-157.97844
1701000000,-3.2275186,-158.00984
1702000000,-3.2393456,-158.21442
1703000000,-3.2444768,-158.32152
1704000000,-3.246686,-158.25536
1705000000,-3.23983,-158.29173
1706000000,-3.2382503,-158.65311
1707000000,-3.2506294,-158.80367
1708000000,-3.2252491,-158.84731
1709000000,-3.2454143,-158.81714
1710000000,-3.2109644,-158.96179
1711000000,-3.253577,-158.89822
1712000000,-3.2276876,-158.91924
1713000000,-3.2385476,-159.36189
1714000000,-3.234354,-159.48344
1715000000,-3.2320871,-159.40326
1716000000,-3.2739675,-159.56357
1717000000,-3.2247915,-159.54878
1718000000,-3.2642221,-159.7986
1719000000,-3.2498488,-159.75914
1720000000,-3.2278535,-159.8354
1721000000,-3.241015,-159.99831
1722000000,-3.2366312,-159.98788
1723000000,-3.2569525,-160.00648
