Freq(Hz),S21 Log Mag(dB),S21 Phase,S11 Log Mag(dB),S11 Phase
1468000000,-0.52245551,73.645576,-17.633184,178.38368
1469000000,-0.51566607,73.342377,-17.507853,178.5363
1470000000,-0.50101149,73.13047,-17.414049,178.52188
1471000000,-0.52126992,73.04483,-17.350237,178.95784
1472000000,-0.51974672,72.669243,-17.344341,177.80539
1473000000,-0.50920653,72.613335,-17.26803,178.36139
1474000000,-0.51442784,72.449898,-17.288221,178.36954
1475000000,-0.53067255,72.240967,-17.184412,178.40958
1476000000,-0.51796943,72.074615,-17.125111,178.84065
1477000000,-0.52510172,71.708145,-17.061354,178.92265
1478000000,-0.50911504,71.480408,-16.985512,178.44009
1479000000,-0.5374431,71.221535,-17.008575,178.74736
1480000000,-0.53348666,71.128487,-16.957378,178.49466
1481000000,-0.5412994,71.021049,-16.904234,178.51573
1482000000,-0.53402048,70.749413,-16.847012,178.92709
1483000000,-0.53388184,70.698616,-16.844406,178.63255
1484000000,-0.53053826,70.26825,-16.746071,178.54015
1485000000,-0.54346752,70.137398,-16.654865,178.56032
1486000000,-0.51489419,70.036087,-16.592365,178.30685
1487000000,-0.51887035,69.828423,-16.590218,178.91362
1488000000,-0.54561746,69.566841,-16.55888,178.47612
1489000000,-0.55517524,69.220497,-16.497196,178.02748
