frequency, S11, S12, S21, S22
3120869120.0000000000, -1.1329685217, -12.6481948182, -12.6481937625, -1.1329685217
3121869056.0000000000, -1.1321040808, -12.6639513762, -12.6639471466, -1.1321047483
3122868992.0000000000, -1.1312637423, -12.6797306822, -12.6797306822, -1.1312610726
3123868928.0000000000, -1.1304434959, -12.6955328046, -12.6955306832, -1.1304414938
3124868864.0000000000, -1.1296440039, -12.7113503755, -12.7113503755, -1.1296453386
3125868800.0000000000, -1.1288632596, -12.7271951339, -12.7271983262, -1.1288632596
3126868736.0000000000, -1.1281072636, -12.7430714324, -12.7430724982, -1.1281059292
3127868672.0000000000, -1.1273693385, -12.7589687068, -12.7589655043, -1.1273693385
3128868608.0000000000, -1.1266521489, -12.7748827402, -12.7748806018, -1.1266534831
3129868544.0000000000, -1.1259570243, -12.7908199979, -12.7908178561, -1.1259556902
3130868480.0000000000, -1.1252812922, -12.8067794778, -12.8067762600, -1.1252826263
3131868416.0000000000, -1.1246276165, -12.8227601717, -12.8227590974, -1.1246276165
3132868352.0000000000, -1.1239953260, -12.8387707489, -12.8387685968, -1.1239966599
3133868288.0000000000, -1.1233844166, -12.8547973012, -12.8547994567, -1.1233830828
3134868224.0000000000, -1.1227888825, -12.8708441822, -12.8708474207, -1.1227908832
3135868160.0000000000, -1.1222187236, -12.8869255047, -12.8869179360, -1.1222180568
3136868096.0000000000, -1.1216699347, -12.9030154021, -12.9030197340, -1.1216712682
3137868032.0000000000, -1.1211371781, -12.9191301449, -12.9191290602, -1.1211378448
