Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°),S31 Log Mag(dB),S31 Phase(°),S41 Log Mag(dB),S41 Phase(°),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1132000000,-4.1156411,108.98977,-6.5757151,-70.174294,-12.785239,-53.741692,-4.9573798,-129.00679,,-3.842229655,-7.00380913,-13.60437584,-5.182163077
1133000000,-4.1056261,108.6307,-6.5851355,-70.371437,-12.794791,-53.712284,-4.9614921,-129.22876,,-3.838973867,-7.009370059,-13.62162926,-5.18115055
1134000000,-4.1208034,108.89286,-6.5980883,-70.356544,-12.809446,-53.626678,-4.9335623,-129.44165,,-3.835721921,-7.014961813,-13.63880021,-5.180143287
1135000000,-4.1246586,108.62903,-6.6362734,-70.371811,-12.836063,-53.507004,-5.0001588,-129.47116,,-3.83247388,-7.020584559,-13.65588611,-5.179141345
1136000000,-4.1548204,108.6842,-6.6207209,-70.546425,-12.851799,-53.334438,-4.9836287,-129.6967,,-3.829229805,-7.026238463,-13.67288438,-5.17814478
1137000000,-4.126441,108.51884,-6.662107,-70.432961,-12.854437,-53.144089,-4.9857316,-129.74724,,-3.82598976,-7.031923692,-13.68979237,-5.177153648
1138000000,-4.0962601,108.26564,-6.6023097,-70.599297,-12.867628,-53.333649,-4.9498849,-130.00366,,-3.822753808,-7.037640416,-13.70660741,-5.176168008
1139000000,-4.1269302,108.13867,-6.6547079,-70.832001,-12.891377,-53.062485,-4.9939771,-130.12567,,-3.819522014,-7.043388804,-13.7233268,-5.175187915
1140000000,-4.105864,107.96914,-6.6490493,-70.92347,-12.92155,-52.750854,-4.9844556,-130.44659,,-3.816294441,-7.049169025,-13.7399478,-5.17421343
1141000000,-4.0986352,108.08723,-6.682539,-70.99115,-12.954173,-52.583382,-4.9658766,-130.58838,,-3.813071154,-7.054981249,-13.75646765,-5.173244609
1142000000,-4.1280298,107.71484,-6.6697254,-71.071526,-12.931775,-52.787277,-4.9935641,-130.72423,,-3.809852219,-7.06082565,-13.77288353,-5.172281512
1143000000,-4.0842533,107.92422,-6.6402445,-70.864655,-12.935592,-52.399513,-4.9498487,-130.51735,,-3.806637702,-7.066702398,-13.78919261,-5.171324198
1144000000,-4.1015277,107.63306,-6.6784472,-71.199699,-12.979545,-52.399887,-4.9568105,-130.97884,,-3.803427669,-7.072611667,-13.80539203,-5.170372728
1145000000,-4.0715027,107.44651,-6.6948895,-71.333237,-12.961267,-52.39159,-4.9508681,-131.07069,,-3.800222186,-7.078553631,-13.82147887,-5.16942716
1146000000,-4.0463004,107.59978,-6.6777267,-71.116158,-13.006383,-51.810646,-4.9358711,-131.06194,,-3.797021321,-7.084528463,-13.8374502,-5.168487556
1147000000,-4.0396667,107.19662,-6.662024,-71.409096,-12.970529,-51.946026,-4.9409165,-131.3131,,-3.793825141,-7.09053634,-13.85330306,-5.167553976
1148000000,-4.1092076,107.12794,-6.7006936,-71.459305,-13.017822,-51.822803,-4.946023,-131.50685,,-3.790633715,-7.096577438,-13.86903445,-5.166626483
1149000000,-4.0901465,107.19398,-6.7029929,-71.435623,-13.006257,-51.759651,-4.9589648,-131.3808,,-3.787447112,-7.102651933,-13.88464133,-5.165705137
1150000000,-4.0735974,106.81528,-6.7083964,-71.554329,-13.006583,-51.740883,-4.9723954,-131.84781,,-3.7842654,-7.108760003,-13.90012066,-5.164790002
1151000000,-4.0711446,106.92907,-6.717875,-71.647377,-13.04845,-51.299789,-4.9663286,-131.76076,,-3.781088649,-7.114901826,-13.91546933,-5.163881139
