"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
3.96,-5.71752972332506,-3.83463524329239,-2.7395260850815,-3.63719152506666
3.961,-5.73640507308241,-3.83033622333055,-2.73261670807082,-3.6414448599094
3.962,-5.75539484162867,-3.82604212848936,-2.72571244849712,-3.64570151431002
3.963,-5.77449995118752,-3.82175295503153,-2.71881343193587,-3.64996148587872
3.964,-5.79372133326387,-3.8174686992288,-2.71191978502932,-3.65422477220541
3.965,-5.81305992875792,-3.81318935736203,-2.70503163549261,-3.65849137085933
3.966,-5.83251668808092,-3.80891492572128,-2.69814911211991,-3.66276127938902
3.967,-5.8520925712728,-3.80464540060598,-2.6912723447905,-3.66703449532204
3.968,-5.87178854812136,-3.80038077832496,-2.68440146447485,-3.67131101616471
3.969,-5.89160559828328,-3.79612105519663,-2.67753660324076,-3.67559083940192
3.97,-5.91154471140697,-3.79186622754902,-2.67067789425937,-3.679873962497
3.971,-5.93160688725719,-3.78761629171995,-2.66382547181127,-3.68416038289136
3.972,-5.95179313584154,-3.78337124405713,-2.65697947129255,-3.68845009800434
3.973,-5.97210447753888,-3.77913108091823,-2.65014002922083,-3.69274310523296
3.974,-5.99254194322968,-3.77489579867102,-2.64330728324127,-3.69703940195172
3.975,-6.01310657442817,-3.77066539369351,-2.63648137213262,-3.70133898551233
3.976,-6.03379942341677,-3.76643986237401,-2.62966243581318,-3.70564185324349
3.977,-6.05462155338222,-3.76221920111128,-2.62285061534679,-3.70994800245068
3.978,-6.07557403855391,-3.75800340631465,-2.61604605294882,-3.71425743041584
3.979,-6.09665796434449,-3.7537924744041,-2.60924889199204,-3.71857013439722
3.98,-6.11787442749216,-3.74958640181041,-2.60245927701259,-3.72288611162905
3.981,-6.13922453620557,-3.74538518497526,-2.59567735371586,-3.72720535932135
