"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1.17,-0.869041666116412,-14.6043575250084
1.171,-0.87089177166527,-14.5788423230171
1.172,-0.872747276486313,-14.5533716964437
1.173,-0.874608142458266,-14.5279457908265
1.174,-0.876474331197205,-14.5025647516408
1.175,-0.878345804058364,-14.4772287242912
1.176,-0.880222522136999,-14.4519378541043
1.177,-0.882104446270013,-14.426692286321
1.178,-0.883991537037329,-14.4014921660886
1.179,-0.885883754763349,-14.3763376384531
1.18,-0.887781059518427,-14.3512288483511
1.181,-0.889683411120115,-14.3261659406022
1.182,-0.89159076913513,-14.3011490599006
1.183,-0.893503092880317,-14.2761783508072
1.184,-0.895420341424791,-14.2512539577412
1.185,-0.897342473591172,-14.2263760249721
1.186,-0.899269447957068,-14.201544696611
1.187,-0.901201222857056,-14.1767601166027
1.188,-0.903137756384059,-14.1520224287168
1.189,-0.905079006391318,-14.1273317765393
1.19,-0.907024930493611,-14.1026883034639
1.191,-0.908975486069597,-14.0780921526838
1.192,-0.910930630262937,-14.0535434671822
1.193,-0.912890319984522,-14.0290423897241
1.194,-0.914854511914129,-14.0045890628472
1.195,-0.916823162502109,-13.9801836288529
1.196,-0.91879622797151,-13.9558262297975
1.197,-0.920773664319513,-13.9315170074831
1.198,-0.922755427319915,-13.9072561034486
1.199,-0.924741472524395,-13.88304365896
1.2,-0.926731755264949,-13.858879815002
1.201,-0.92872623065566,-13.8347647122682
1.202,-0.930724853594511,-13.8106984911517
1.203,-0.932727578765682,-13.7866812917362
1.204,-0.934734360641488,-13.7627132537862
1.205,-0.936745153484242,-13.7387945167375
1.206,-0.93875991134854,-13.7149252196877
1.207,-0.940778588083222,-13.6911055013869
1.208,-0.942801137333573,-13.6673355002278
1.209,-0.94482751254341,-13.6436153542361
1.21,-0.946857666957208,-13.6199452010606
1.211,-0.948891553622361,-13.5963251779637
1.212,-0.950929125391265,-13.5727554218117
1.213,-0.952970334923682,-13.5492360690646
1.214,-0.955015134688769,-13.5257672557663
1.215,-0.957063476967539,-13.5023491175351
1.216,-0.959115313855091,-13.478981789553
1.217,-0.961170597262747,-13.4556654065564
1.218,-0.963229278920553,-13.4324001028258
1.219,-0.965291310379769,-13.4091860121756
1.22,-0.967356643014724,-13.3860232679444
1.221,-0.969425228025586,-13.3629120029845
1.222,-0.971497016440742,-13.3398523496519
1.223,-0.973571959119089,-13.3168444397963
1.224,-0.975650006752464,-13.2938884047505
1.225,-0.977731109868219,-13.2709843753207
1.226,-0.979815218831557,-13.2481324817759
1.227,-0.981902283848117,-13.2253328538378
1.228,-0.983992254966503,-13.2025856206703
1.229,-0.986085082080529,-13.1798909108697
1.23,-0.988180714932285,-13.1572488524537
1.231,-0.990279103114166,-13.1346595728518
1.232,-0.992380196071708,-13.1121231988944
1.233,-0.994483943106189,-13.0896398568027
1.234,-0.996590293377234,-13.0672096721786
1.235,-0.998699195905335,-13.0448327699937
1.236,-1.0008105995744,-13.0225092745796
1.237,-1.00292445313483,-13.000239309617
1.238,-1.00504070520583,-12.9780229981258
1.239,-1.00715930427809,-12.9558604624544
1.24,-1.00928019871657,-12.9337518242694
1.241,-1.01140333676337,-12.9116972045453
1.242,-1.01352866654025,-12.8896967235543
1.243,-1.01565613605133,-12.8677505008553
1.244,-1.01778569318617,-12.8458586552846
1.245,-1.01991728572206,-12.8240213049444
1.246,-1.02205086132727,-12.8022385671936
1.247,-1.02418636756361,-12.7805105586365
1.248,-1.02632375188918,-12.7588373951131
1.249,-1.02846296166144,-12.7372191916889
1.25,-1.03060394413967,-12.7156560626441
1.251,-1.0327466464883,-12.6941481214638
1.252,-1.03489101577927,-12.6726954808276
1.253,-1.03703699899529,-12.6512982525996
1.254,-1.03918454303246,-12.6299565478181
1.255,-1.04133359470328,-12.6086704766854
1.256,-1.04348410073962,-12.5874401485577
1.257,-1.04563600779535,-12.5662656719353
1.258,-1.0477892624497,-12.5451471544521
1.259,-1.0499438112097,-12.524084702866
1.26,-1.05209960051348,-12.5030784230489
1.261,-1.05425657673301,-12.4821284199763
1.262,-1.0564146861773,-12.461234797718
1.263,-1.05857387509501,-12.4403976594281
1.264,-1.06073408967772,-12.4196171073348
1.265,-1.0628952760627,-12.3988932427312
1.266,-1.06505738033618,-12.3782261659654
1.267,-1.06722034853597,-12.3576159764305
1.268,-1.06938412665466,-12.3370627725556
1.269,-1.07154866064275,-12.3165666517957
1.27,-1.07371389641141,-12.2961277106226
1.271,-1.07587977983558,-12.2757460445152
1.272,-1.07804625675707,-12.2554217479503
1.273,-1.08021327298761,-12.2351549143931
1.274,-1.08238077431169,-12.2149456362881
1.275,-1.08454870648964,-12.1947940050499
1.276,-1.08671701526103,-12.174700111054
1.277,-1.08888564634717,-12.1546640436278
1.278,-1.09105454545445,-12.1346858910415
1.279,-1.09322365827739,-12.1147657404993
1.28,-1.0953929305016,-12.0949036781307
1.281,-1.09756230780701,-12.0750997889813
1.282,-1.09973173587063,-12.0553541570045
1.283,-1.10190116036989,-12.0356668650528
1.284,-1.1040705269855,-12.0160379948693
1.285,-1.10623978140463,-11.996467627079
1.286,-1.108408869324,-11.9769558411808
1.287,-1.11057773645269,-11.9575027155388
1.288,-1.11274632851557,-11.9381083273748
1.289,-1.11491459125602,-11.9187727527592
1.29,-1.11708247043929,-11.8994960666041
1.291,-1.11924991185526,-11.8802783426545
1.292,-1.12141686132163,-11.8611196534807
1.293,-1.12358326468715,-11.8420200704711
1.294,-1.12574906783436,-11.8229796638236
1.295,-1.12791421668278,-11.8039985025392
1.296,-1.13007865719199,-11.7850766544134
1.297,-1.1322423353648,-11.76621418603
