"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
3.306,-9.48161929436005,-0.99486589723142
3.307,-9.47198951236343,-0.996521160046894
3.308,-9.46236649040221,-0.998179652359966
3.309,-9.45275021071327,-0.999841381522471
3.31,-9.44314065559167,-1.00150635490966
3.311,-9.43353780739041,-1.00317457992025
3.312,-9.42394164852027,-1.00484606397655
3.313,-9.41435216144964,-1.00652081452449
3.314,-9.40476932870436,-1.00819883903376
3.315,-9.39519313286747,-1.00988014499784
3.316,-9.38562355657913,-1.01156473993411
3.317,-9.37606058253636,-1.01325263138394
3.318,-9.36650419349293,-1.01494382691272
3.319,-9.35695437225914,-1.01663833411002
3.32,-9.34741110170167,-1.0183361605896
3.321,-9.33787436474342,-1.02003731398954
3.322,-9.32834414436331,-1.02174180197232
3.323,-9.31882042359613,-1.02344963222487
3.324,-9.30930318553236,-1.02516081245871
3.325,-9.29979241331804,-1.02687535040996
3.326,-9.29028809015455,-1.0285932538395
3.327,-9.28079019929849,-1.03031453053301
3.328,-9.27129872406147,-1.03203918830107
3.329,-9.26181364781001,-1.03376723497922
3.33,-9.25233495396533,-1.03549867842812
3.331,-9.24286262600319,-1.03723352653353
3.332,-9.23339664745378,-1.03897178720649
3.333,-9.22393700190149,-1.04071346838335
3.334,-9.2144836729848,-1.0424585780259
3.335,-9.20503664439611,-1.0442071241214
3.336,-9.1955958998816,-1.04595911468273
3.337,-9.18616142324104,-1.04771455774846
3.338,-9.17673319832769,-1.04947346138289
3.339,-9.16731120904808,-1.05123583367621
3.34,-9.15789543936192,-1.05300168274457
3.341,-9.1484858732819,-1.05477101673012
3.342,-9.1390824948736,-1.05654384380117
3.343,-9.12968528825528,-1.05832017215224
3.344,-9.12029423759778,-1.06010001000417
3.345,-9.11090932712432,-1.06188336560419
3.346,-9.10153054111041,-1.06367024722602
3.347,-9.09215786388368,-1.06546066316997
3.348,-9.08279127982372,-1.06725462176304
3.349,-9.07343077336201,-1.06905213135899
3.35,-9.06407632898163,-1.07085320033843
3.351,-9.05472793121731,-1.07265783710896
3.352,-9.04538556465514,-1.0744660501052
3.353,-9.03604921393248,-1.07627784778894
3.354,-9.02671886373785,-1.07809323864918
3.355,-9.01739449881075,-1.07991223120228
3.356,-9.00807610394156,-1.08173483399201
3.357,-8.99876366397137,-1.08356105558969
3.358,-8.98945716379187,-1.08539090459423
3.359,-8.98015658834521,-1.08722438963228
3.36,-8.97086192262385,-1.0890615193583
3.361,-8.96157315167048,-1.09090230245464
3.362,-8.95229026057782,-1.0927467476317
3.363,-8.94301323448853,-1.09459486362795
3.364,-8.93374205859509,-1.09644665921007
3.365,-8.92447671813964,-1.09830214317307
3.366,-8.91521719841388,-1.10016132434033
3.367,-8.90596348475891,-1.10202421156374
3.368,-8.89671556256516,-1.10389081372381
3.369,-8.88747341727222,-1.10576113972973
3.37,-8.87823703436871,-1.10763519851949
3.371,-8.86900639939219,-1.10951299906
3.372,-8.85978149792903,-1.11139455034717
3.373,-8.85056231561426,-1.11327986140601
3.374,-8.84134883813151,-1.11516894129073
3.375,-8.8321410512128,-1.11706179908487
3.376,-8.82293894063851,-1.11895844390138
3.377,-8.81374249223721,-1.12085888488271
3.378,-8.80455169188557,-1.12276313120094
3.379,-8.79536652550821,-1.12467119205789
