Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1178000000,-7.359879,,-1.2549629,,-1.4272903,,-14.47346,,-0.883991537,-14.40149217
1179000000,-7.3607612,,-1.2624902,,-1.4096556,,-14.474712,,-0.885883755,-14.37633764
1180000000,-7.3908534,,-1.2731004,,-1.422454,,-14.424381,,-0.88778106,-14.35122885
1181000000,-7.4012451,,-1.2524749,,-1.4228218,,-14.42986,,-0.889683411,-14.32616594
1182000000,-7.408206,,-1.2911761,,-1.4183575,,-14.416025,,-0.891590769,-14.30114906
1183000000,-7.4116917,,-1.2776097,,-1.4152154,,-14.434576,,-0.893503093,-14.27617835
1184000000,-7.432817,,-1.2528108,,-1.3783224,,-14.427277,,-0.895420341,-14.25125396
1185000000,-7.4480147,,-1.2874681,,-1.4093258,,-14.402574,,-0.897342474,-14.22637602
1186000000,-7.4871268,,-1.2911766,,-1.4075655,,-14.377745,,-0.899269448,-14.2015447
1187000000,-7.4794888,,-1.2845099,,-1.4010508,,-14.356986,,-0.901201223,-14.17676012
1188000000,-7.5044174,,-1.272307,,-1.3905033,,-14.394553,,-0.903137756,-14.15202243
1189000000,-7.4589949,,-1.2485709,,-1.367517,,-14.347015,,-0.905079006,-14.12733178
1190000000,-7.5294719,,-1.2734834,,-1.3789765,,-14.340238,,-0.90702493,-14.1026883
1191000000,-7.4741802,,-1.2325186,,-1.3961579,,-14.343342,,-0.908975486,-14.07809215
1192000000,-7.5322266,,-1.2819867,,-1.4155769,,-14.32965,,-0.91093063,-14.05354347
1193000000,-7.5518179,,-1.288337,,-1.3819684,,-14.313207,,-0.91289032,-14.02904239
1194000000,-7.5877886,,-1.2658826,,-1.3912946,,-14.3097,,-0.914854512,-14.00458906
1195000000,-7.5740643,,-1.2710904,,-1.413691,,-14.294608,,-0.916823163,-13.98018363
1196000000,-7.6026015,,-1.3037173,,-1.3624569,,-14.293362,,-0.918796228,-13.95582623
1197000000,-7.6119986,,-1.283607,,-1.3554364,,-14.29404,,-0.920773664,-13.93151701
1198000000,-7.6050887,,-1.2646062,,-1.3586097,,-14.246609,,-0.922755427,-13.9072561
1199000000,-7.6285138,,-1.2630851,,-1.3697633,,-14.240878,,-0.924741473,-13.88304366
1200000000,-7.6350212,,-1.2763902,,-1.3762237,,-14.239434,,-0.926731755,-13.85887982
1201000000,-7.6929212,,-1.2783526,,-1.3794787,,-14.237553,,-0.928726231,-13.83476471
1202000000,-7.6650481,,-1.2827897,,-1.3372369,,-14.211171,,-0.930724854,-13.81069849
1203000000,-7.656179,,-1.2631824,,-1.3438747,,-14.207005,,-0.932727579,-13.78668129
1204000000,-7.7012277,,-1.2754314,,-1.3377391,,-14.179185,,-0.934734361,-13.76271325
1205000000,-7.7245965,,-1.2749592,,-1.3532995,,-14.19201,,-0.936745153,-13.73879452
1206000000,-7.7244787,,-1.2843678,,-1.356959,,-14.188136,,-0.938759911,-13.71492522
1207000000,-7.7317929,,-1.2844719,,-1.3556759,,-14.161561,,-0.940778588,-13.6911055
1208000000,-7.7671247,,-1.2963499,,-1.3257216,,-14.170454,,-0.942801137,-13.6673355
1209000000,-7.7700906,,-1.2882127,,-1.3349091,,-14.137892,,-0.944827513,-13.64361535
1210000000,-7.8017931,,-1.2981827,,-1.3435487,,-14.127064,,-0.946857667,-13.6199452
1211000000,-7.7718973,,-1.2842635,,-1.3157251,,-14.122097,,-0.948891554,-13.59632518
1212000000,-7.8178339,,-1.2661908,,-1.3066142,,-14.11518,,-0.950929125,-13.57275542
1213000000,-7.8179979,,-1.2962371,,-1.308403,,-14.104981,,-0.952970335,-13.54923607
1214000000,-7.861999,,-1.2872752,,-1.3336953,,-14.13413,,-0.955015135,-13.52576726
1215000000,-7.8867979,,-1.3029573,,-1.3313076,,-14.117375,,-0.957063477,-13.50234912
1216000000,-7.8706899,,-1.3112307,,-1.3367097,,-14.091513,,-0.959115314,-13.47898179
1217000000,-7.8830924,,-1.2869807,,-1.2968754,,-14.090327,,-0.961170597,-13.45566541
1218000000,-7.867979,,-1.2455375,,-1.2980558,,-14.05824,,-0.963229279,-13.4324001
1219000000,-7.8992634,,-1.2813498,,-1.2865804,,-14.048788,,-0.96529131,-13.40918601
1220000000,-7.9287667,,-1.3152791,,-1.3189893,,-14.061057,,-0.967356643,-13.38602327
1221000000,-7.9441395,,-1.2854224,,-1.2971184,,-14.027802,,-0.969425228,-13.362912
1222000000,-7.9347525,,-1.2912384,,-1.3009766,,-14.03922,,-0.971497016,-13.33985235
1223000000,-7.9536648,,-1.2630101,,-1.2671517,,-14.000708,,-0.973571959,-13.31684444
1224000000,-7.9643726,,-1.2864572,,-1.3065115,,-14.00956,,-0.975650007,-13.2938884
1225000000,-7.9772477,,-1.2940512,,-1.3119183,,-14.01303,,-0.97773111,-13.27098438
1226000000,-8.0135975,,-1.3018856,,-1.2824234,,-13.965242,,-0.979815219,-13.24813248
1227000000,-8.00776,,-1.2994024,,-1.3001835,,-14.014206,,-0.981902284,-13.22533285
1228000000,-8.0321054,,-1.299477,,-1.2808123,,-13.980231,,-0.983992255,-13.20258562
1229000000,-8.0472755,,-1.2932129,,-1.2757038,,-13.991682,,-0.986085082,-13.17989091
1230000000,-8.0399723,,-1.2610047,,-1.2723968,,-13.977131,,-0.988180715,-13.15724885
1231000000,-8.0651703,,-1.2768418,,-1.2707831,,-13.949689,,-0.990279103,-13.13465957
