Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
3.027,-13.02836485,-3.744872929,-15.01137804,-3.719799054,-18.14132773,-15.02870203
3.028,-13.02770141,-3.745015574,-15.01240636,-3.719923025,-18.15016408,-15.03049147
3.029,-13.02704875,-3.745157594,-15.01344093,-3.720046512,-18.15900745,-15.03228653
3.03,-13.02640688,-3.745298988,-15.01448173,-3.720169516,-18.16785786,-15.03408719
3.031,-13.02577579,-3.745439758,-15.01552877,-3.720292036,-18.17671533,-15.03589345
3.032,-13.0251555,-3.745579902,-15.01658205,-3.720414072,-18.18557987,-15.03770529
3.033,-13.024546,-3.745719423,-15.01764156,-3.720535625,-18.19445149,-15.03952272
3.034,-13.02394729,-3.74585832,-15.0187073,-3.720656694,-18.2033302,-15.04134572
3.035,-13.02335939,-3.745996593,-15.01977927,-3.720777279,-18.21221603,-15.04317429
3.036,-13.02278228,-3.746134243,-15.02085746,-3.720897381,-18.22110898,-15.04500842
3.037,-13.02221597,-3.74627127,-15.02194187,-3.721016999,-18.23000908,-15.04684809
3.038,-13.02166046,-3.746407676,-15.0230325,-3.721136134,-18.23891633,-15.04869331
3.039,-13.02111576,-3.746543459,-15.02412935,-3.721254785,-18.24783075,-15.05054407
3.04,-13.02058187,-3.746678621,-15.0252324,-3.721372953,-18.25675235,-15.05240035
3.041,-13.02005878,-3.746813161,-15.02634167,-3.721490637,-18.26568116,-15.05426214
3.042,-13.01954651,-3.746947082,-15.02745714,-3.721607839,-18.27461718,-15.05612945
3.043,-13.01904504,-3.747080382,-15.02857882,-3.721724557,-18.28356043,-15.05800227
3.044,-13.0185544,-3.747213062,-15.02970669,-3.721840792,-18.29251092,-15.05988057
3.045,-13.01807457,-3.747345123,-15.03084077,-3.721956544,-18.30146867,-15.06176436
3.046,-13.01760555,-3.747476565,-15.03198103,-3.722071812,-18.3104337,-15.06365364
3.047,-13.01714736,-3.747607389,-15.03312749,-3.722186598,-18.31940601,-15.06554838
3.048,-13.01669999,-3.747737596,-15.03428013,-3.722300902,-18.32838563,-15.06744858
3.049,-13.01626344,-3.747867184,-15.03543895,-3.722414722,-18.33737257,-15.06935423
3.05,-13.01583772,-3.747996156,-15.03660396,-3.72252806,-18.34636685,-15.07126533
3.051,-13.01542283,-3.748124512,-15.03777514,-3.722640915,-18.35536847,-15.07318187
3.052,-13.01501876,-3.748252252,-15.03895249,-3.722753288,-18.36437746,-15.07510384
3.053,-13.01462553,-3.748379376,-15.04013602,-3.722865179,-18.37339383,-15.07703122
3.054,-13.01424312,-3.748505886,-15.04132571,-3.722976587,-18.38241759,-15.07896402
3.055,-13.01387155,-3.748631781,-15.04252156,-3.723087514,-18.39144877,-15.08090221
3.056,-13.01351082,-3.748757062,-15.04372357,-3.723197958,-18.40048737,-15.0828458
3.057,-13.01316092,-3.748881731,-15.04493174,-3.72330792,-18.40953342,-15.08479478
3.058,-13.01282186,-3.749005786,-15.04614605,-3.723417401,-18.41858692,-15.08674913
3.059,-13.01249364,-3.74912923,-15.04736652,-3.7235264,-18.4276479,-15.08870885
3.06,-13.01217626,-3.749252062,-15.04859313,-3.723634918,-18.43671636,-15.09067393
3.061,-13.01186973,-3.749374282,-15.04982588,-3.723742954,-18.44579234,-15.09264436
3.062,-13.01157404,-3.749495893,-15.05106477,-3.723850509,-18.45487583,-15.09462013
3.063,-13.01128919,-3.749616893,-15.05230979,-3.723957583,-18.46396686,-15.09660123
3.064,-13.01101519,-3.749737285,-15.05356093,-3.724064176,-18.47306544,-15.09858766
3.065,-13.01075204,-3.749857067,-15.05481821,-3.724170288,-18.48217159,-15.1005794
3.066,-13.01049974,-3.749976242,-15.0560816,-3.72427592,-18.49128533,-15.10257644
