frequency, S11, S12, S21, S22
1076000000.0000000000, -55.5170268688, -0.0131216269, -0.0131234174, -55.5174060434
1076999936.0000000000, -55.4426364608, -0.0131246111, -0.0131246111, -55.4423851621
1077999872.0000000000, -55.3683750841, -0.0131269984, -0.0131258047, -55.3683017884
1078999808.0000000000, -55.2943595325, -0.0131275952, -0.0131311762, -55.2938044944
1079999744.0000000000, -55.2193688946, -0.0131341604, -0.0131341604, -55.2198208113
1080999680.0000000000, -55.1459700134, -0.0131329667, -0.0131335635, -55.1459075794
1081999616.0000000000, -55.0723449889, -0.0131383382, -0.0131407255, -55.0723220348
1082999552.0000000000, -54.9983910609, -0.0131437096, -0.0131419192, -54.9990153906
1083999488.0000000000, -54.9256936743, -0.0131437096, -0.0131443065, -54.9256699234
1084999424.0000000000, -54.8527900072, -0.0131455001, -0.0131455001, -54.8524599139
1085999360.0000000000, -54.7796493434, -0.0131455001, -0.0131478875, -54.7795167065
1086999296.0000000000, -54.7070939738, -0.0131520653, -0.0131508716, -54.7072688094
1087999232.0000000000, -54.6346020373, -0.0131532589, -0.0131532589, -54.6350952994
1088999168.0000000000, -54.5626765467, -0.0131568399, -0.0131574367, -54.5627823432
1089999104.0000000000, -54.4910177893, -0.0131616146, -0.0131610177, -54.4906290388
1090999040.0000000000, -54.4190979794, -0.0131634051, -0.0131640019, -54.4189076830
1091998976.0000000000, -54.3474590159, -0.0131651956, -0.0131669861, -54.3476287430
1092998912.0000000000, -54.2760360327, -0.0131699702, -0.0131675829, -54.2757689516
1093998848.0000000000, -54.2047396598, -0.0131747449, -0.0131747449, -54.2049490757
1094998784.0000000000, -54.1344704749, -0.0131735512, -0.0131735512, -54.1338330687
1095998720.0000000000, -54.0630387104, -0.0131753417, -0.0131759385, -54.0632150910
1096998656.0000000000, -53.9927358335, -0.0131789227, -0.0131813100, -53.9928656465
1097998592.0000000000, -53.9225370379, -0.0131836974, -0.0131848910, -53.9225053234
1098998528.0000000000, -53.8524405299, -0.0131866815, -0.0131854879, -53.8520626214
