"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.221,-14.7630912881309,-3.41151325933934,-17.9591137104532,-3.44849711012295,-10.9020887561852,-17.5824259014895
1.222,-14.7683307378225,-3.41151131142461,-17.9668534092839,-3.44850106755846,-10.9092022625637,-17.5891594840326
1.223,-14.7735685779348,-3.41150959698469,-17.9746275231401,-3.44850496264646,-10.9163190906473,-17.5959285885076
1.224,-14.7788048062668,-3.41150811557381,-17.9824360415825,-3.44850879702523,-10.9234392530389,-17.6027332803944
1.225,-14.7840394205788,-3.41150686674926,-17.9902789476401,-3.44851257233095,-10.9305627623663,-17.6095736190472
1.226,-14.7892724185916,-3.41150585007141,-17.9981562176871,-3.44851629019773,-10.9376896312818,-17.6164496575523
1.227,-14.7945037979866,-3.4115050651037,-18.0060678213219,-3.44851995225754,-10.9448198724627,-17.6233614425847
1.228,-14.7997335564054,-3.41150451141267,-18.0140137212437,-3.44852356014024,-10.9519534986109,-17.6303090142647
1.229,-14.8049616914491,-3.41150418856795,-18.0219938731311,-3.44852711547359,-10.959090522453,-17.637292406013
1.23,-14.8101882006787,-3.41150409614231,-18.0300082255189,-3.44853061988322,-10.9662309567405,-17.6443116444062
1.231,-14.8154130816141,-3.41150423371165,-18.0380567196765,-3.44853407499263,-10.9733748142492,-17.6513667490308
1.232,-14.8206363317344,-3.41150460085498,-18.0461392894854,-3.44853748242321,-10.98052210778,-17.6584577323375
1.233,-14.825857948477,-3.41150519715448,-18.0542558613174,-3.44854084379417,-10.9876728501582,-17.6655845994948
1.234,-14.8310779292378,-3.41150602219551,-18.0624063539131,-3.44854416072261,-10.9948270542337,-17.6727473482423
1.235,-14.8362962713706,-3.41150707556657,-18.0705906782607,-3.44854743482349,-11.0019847328813,-17.6799459687437
1.236,-14.8415129721868,-3.41150835685936,-18.078808737475,-3.44855066770959,-11.0091458990001,-17.6871804434402
1.237,-14.8467280289553,-3.41150986566878,-18.0870604266774,-3.44855386099156,-11.0163105655139,-17.6944507469033
1.238,-14.851941438902,-3.41151160159294,-18.0953456328763,-3.44855701627787,-11.0234787453712,-17.7017568456878
1.239,-14.8571531992093,-3.41151356423314,-18.1036642348481,-3.44856013517483,-11.030650451545,-17.7090986981851
1.24,-14.8623633070163,-3.41151575319394,-18.1120161030192,-3.44856321928657,-11.0378256970328,-17.7164762544765
1.241,-14.8675717594181,-3.41151816808311,-18.1204010993485,-3.44856627021505,-11.0450044948566,-17.7238894561872
1.242,-14.8727785534655,-3.41152080851169,-18.1288190772114,-3.44856928956006,-11.0521868580632,-17.7313382363403
1.243,-14.8779836861649,-3.41152367409396,-18.1372698812845,-3.44857227891917,-11.0593727997236,-17.7388225192117
1.244,-14.8831871544777,-3.41152676444747,-18.1457533474314,-3.44857523988777,-11.0665623329335,-17.7463422201854
1.245,-14.8883889553202,-3.41153007919305,-18.1542693025901,-3.44857817405908,-11.073755470813,-17.7538972456098
1.246,-14.8935890855632,-3.41153361795484,-18.1628175646613,-3.44858108302407,-11.0809522265068,-17.7614874926548
1.247,-14.8987875420316,-3.41153738036023,-18.1713979423985,-3.44858396837152,-11.0881526131838,-17.7691128491695
1.248,-14.9039843215042,-3.41154136603995,-18.1800102352995,-3.448586831688,-11.0953566440378,-17.7767731935417
1.249,-14.9091794207134,-3.41154557462803,-18.1886542334994,-3.44858967455787,-11.1025643322865,-17.7844683945581
1.25,-14.9143728363448,-3.41155000576184,-18.1973297176656,-3.44859249856323,-11.1097756911725,-17.7921983112657
