Freq,Simulated,Measured
1.616,-1.343494686,-1.2103108
1.617,-1.343664982,-1.1987278
1.618,-1.343833542,-1.1986073
1.619,-1.344000371,-1.1967177
1.62,-1.344165474,-1.2052443
1.621,-1.344328856,-1.1777823
1.622,-1.344490521,-1.1877201
1.623,-1.344650474,-1.1956284
1.624,-1.34480872,-1.1783626
1.625,-1.344965264,-1.1618061
1.626,-1.34512011,-1.1915054
1.627,-1.345273263,-1.1954184
1.628,-1.345424728,-1.1532621
1.629,-1.34557451,-1.18475
1.63,-1.345722614,-1.1762329
1.631,-1.345869044,-1.1873124
1.632,-1.346013806,-1.1971577
1.633,-1.346156903,-1.1866648
1.634,-1.346298342,-1.2074683
1.635,-1.346438126,-1.1981486
1.636,-1.34657626,-1.1845092
1.637,-1.34671275,-1.1801027
1.638,-1.346847601,-1.1785828
1.639,-1.346980816,-1.1918322
1.64,-1.347112402,-1.1853456
1.641,-1.347242362,-1.1994522
1.642,-1.347370702,-1.1716988
1.643,-1.347497427,-1.2038726
1.644,-1.347622541,-1.1926767
1.645,-1.34774605,-1.1772534
1.646,-1.347867959,-1.2031115
1.647,-1.347988271,-1.2089814
1.648,-1.348106993,-1.2122636
1.649,-1.348224129,-1.1994139
1.65,-1.348339684,-1.2194067
1.651,-1.348453662,-1.1909953
1.652,-1.34856607,-1.220099
1.653,-1.348676912,-1.1982521
1.654,-1.348786192,-1.1891584
1.655,-1.348893917,-1.1762125
1.656,-1.34900009,-1.1937449
1.657,-1.349104716,-1.1628598
1.658,-1.349207802,-1.2027558
1.659,-1.349309351,-1.1890607
1.66,-1.349409368,-1.1686209
1.661,-1.34950786,-1.1767894
1.662,-1.349604829,-1.1650075
1.663,-1.349700283,-1.1709499
1.664,-1.349794225,-1.1928564
1.665,-1.34988666,-1.1663518
1.666,-1.349977594,-1.184864
1.667,-1.350067031,-1.2200078
1.668,-1.350154978,-1.1680201
1.669,-1.350241437,-1.1800119
1.67,-1.350326415,-1.190047
1.671,-1.350409917,-1.1711611
1.672,-1.350491948,-1.1337157
1.673,-1.350572512,-1.1710035
1.674,-1.350651615,-1.1707948
